nSta,DataRate,AC,Throughput_Mbps,Loss_Pct,Retransmissions,E2E_Delay_us,AirDelay_us
2,1Mbps,BE,2.10997,0.00000,0.01354,296.08960,202.00000
2,1Mbps,BK,2.10997,0.00000,0.00011,306.37140,202.00000
2,1Mbps,VI,2.11000,0.00101,0.01493,383.27840,202.00000
2,1Mbps,VO,2.11004,0.00000,0.00068,224.30860,202.00000
4,1Mbps,BE,4.20576,0.33500,0.14894,1630.09620,202.00000
4,1Mbps,BK,4.21994,0.00152,0.10409,1848.02060,202.00000
4,1Mbps,VI,4.21994,0.00202,0.13643,850.54200,202.00000
4,1Mbps,VO,4.21977,0.00556,0.27562,906.22520,202.00000
6,1Mbps,BE,0.40303,93.63302,0.50014,4672.17600,202.00000
6,1Mbps,BK,0.12032,98.09918,0.01616,494223.20000,202.00000
6,1Mbps,VI,4.32176,31.72540,0.72681,3172.04600,202.00000
6,1Mbps,VO,6.27917,0.80303,0.87931,3011.56000,202.00000
8,1Mbps,BE,0.02032,99.75922,0.18738,6518.49000,202.00000
8,1Mbps,BK,0.00373,99.95578,0.00144,495255.00000,202.00000
8,1Mbps,VI,1.74613,79.31092,0.81094,5294.92600,202.00000
8,1Mbps,VO,7.83915,7.11844,1.61129,7469.66800,202.00000
10,1Mbps,BE,0.00198,99.98120,0.07166,10484.14000,202.00000
10,1Mbps,BK,0.00322,99.96948,0.00000,495274.80000,202.00000
10,1Mbps,VI,1.01694,90.36078,0.63103,9719.15000,202.00000
10,1Mbps,VO,8.99780,14.71236,1.77062,12403.24000,202.00000
12,1Mbps,BE,0.00015,99.99882,0.04066,2419.25000,121.20000
12,1Mbps,BK,0.00759,99.94004,0.00000,495388.60000,202.00000
12,1Mbps,VI,0.83250,93.42410,0.53050,14723.96000,202.00000
12,1Mbps,VO,9.95775,21.34552,1.73835,18493.34000,202.00000
14,1Mbps,BE,0.00045,99.99698,0.02801,4889.27000,121.20000
14,1Mbps,BK,0.01407,99.90474,0.00000,495421.40000,202.00000
14,1Mbps,VI,0.68785,95.34292,0.44175,21349.66000,202.00000
14,1Mbps,VO,11.16948,24.37726,1.62163,30918.74000,202.00000
16,1Mbps,BE,0.00002,99.99988,0.00768,1421.20000,40.40000
16,1Mbps,BK,0.01817,99.89238,0.00000,495436.60000,202.00000
16,1Mbps,VI,0.48002,97.15622,0.34870,28193.06000,202.00000
16,1Mbps,VO,12.79248,24.21538,1.41349,51986.50000,202.00000
18,1Mbps,BE,0.00004,99.99978,0.00689,24516.40000,40.40000
18,1Mbps,BK,0.01657,99.91276,0.00000,495439.40000,202.00000
18,1Mbps,VI,0.44435,97.66006,0.33261,27272.40000,202.00000
18,1Mbps,VO,13.79334,27.36502,1.28248,71310.50000,202.00000
20,1Mbps,BE,0.00002,99.99960,0.00284,108036.40000,72.80000
20,1Mbps,BK,0.01614,99.92352,0.00000,495352.20000,202.00000
20,1Mbps,VI,0.34802,98.35062,0.29789,33868.44000,202.00000
20,1Mbps,VO,14.52646,31.15428,1.18882,89091.38000,202.00000
