nSta,DataRate,AC,Throughput_Mbps,Loss_Pct,Retransmissions,E2E_Delay_us,AirDelay_us
2,0.1Mbps,BE,0.21107,0.00000,0.00010,231.20640,202.00000
2,0.1Mbps,BK,0.21098,0.00000,0.00000,222.17060,202.00000
2,0.1Mbps,VI,0.21105,0.00000,0.00010,216.77260,202.00000
2,0.1Mbps,VO,0.21105,0.00000,0.00010,218.09140,202.00000
4,0.1Mbps,BE,0.42194,0.00000,0.00030,231.99480,202.00000
4,0.1Mbps,BK,0.42199,0.00000,0.00025,214.58860,202.00000
4,0.1Mbps,VI,0.42199,0.00505,0.00056,249.06140,202.00000
4,0.1Mbps,VO,0.42205,0.00000,0.00005,211.80160,202.00000
6,0.1Mbps,BE,0.63297,0.00000,0.00734,266.70200,202.00000
6,0.1Mbps,BK,0.63299,0.00000,0.00290,258.31880,202.00000
6,0.1Mbps,VI,0.63303,0.00000,0.00064,235.95460,202.00000
6,0.1Mbps,VO,0.63301,0.00000,0.00081,242.26860,202.00000
8,0.1Mbps,BE,0.84408,0.00000,0.00053,255.27800,202.00000
8,0.1Mbps,BK,0.84395,0.00000,0.00371,280.07400,202.00000
8,0.1Mbps,VI,0.84395,0.00000,0.00030,249.20780,202.00000
8,0.1Mbps,VO,0.84393,0.00000,0.02903,274.10520,202.00000
10,0.1Mbps,BE,1.05489,0.00000,0.00055,261.61120,202.00000
10,0.1Mbps,BK,1.05506,0.00000,0.00537,370.96060,202.00000
10,0.1Mbps,VI,1.05508,0.00000,0.00883,295.58800,202.00000
10,0.1Mbps,VO,1.05514,0.00000,0.00449,243.74240,202.00000
12,0.1Mbps,BE,1.26598,0.00000,0.00456,332.20160,202.00000
12,0.1Mbps,BK,1.26585,0.00000,1.69755,381.35260,202.00000
12,0.1Mbps,VI,1.26600,0.00000,0.00221,243.09300,202.00000
12,0.1Mbps,VO,1.26589,0.00168,0.02738,298.46620,202.00000
14,0.1Mbps,BE,1.47703,0.00000,0.00882,344.31280,202.00000
14,0.1Mbps,BK,1.47701,0.00000,0.00663,354.70780,202.00000
14,0.1Mbps,VI,1.47690,0.00000,0.00515,280.34360,202.00000
14,0.1Mbps,VO,1.47696,0.00144,0.01689,314.22480,202.00000
16,0.1Mbps,BE,1.68790,0.00126,0.00697,353.62800,202.00000
16,0.1Mbps,BK,1.68809,0.00000,0.00407,404.89200,202.00000
16,0.1Mbps,VI,1.68792,0.00000,0.01256,352.01920,202.00000
16,0.1Mbps,VO,1.68807,0.00000,0.00846,286.76120,202.00000
18,0.1Mbps,BE,1.89897,0.00112,0.00000,705.67260,202.00000
18,0.1Mbps,BK,1.89903,0.00000,0.00000,731.92780,202.00000
18,0.1Mbps,VI,1.89903,0.00000,0.00000,546.13760,202.00000
18,0.1Mbps,VO,1.89888,0.00000,0.00000,504.25740,202.00000
20,0.1Mbps,BE,2.11017,0.00000,0.00000,666.35580,202.00000
20,0.1Mbps,BK,2.11003,0.00000,0.00000,786.26700,202.00000
20,0.1Mbps,VI,2.10982,0.00000,0.00000,564.94580,202.00000
20,0.1Mbps,VO,2.10995,0.00000,0.00000,519.40340,202.00000
