sta_type,nPedca,min_p99_CWds,min_p99_QSRC,min_p99_PSRC,min_P50_us,min_P95_us,min_P99_us,default_P50_us,default_P95_us,default_P99_us,EDCA_only_P50_us,EDCA_only_P95_us,EDCA_only_P99_us,gain_vs_default_P50_%,gain_vs_default_P95_%,gain_vs_default_P99_%,gain_vs_EDCA_P50_%,gain_vs_EDCA_P95_%,gain_vs_EDCA_P99_%
All STAs,5,1,3,1,1687.5,9282.5,13667.5,1752.5,9627.5,14022.5,1742.5,9372.5,13517.5,3.7,3.6,2.5,3.2,1.0,-1.1
All STAs,15,1,4,1,1807.5,9177.5,13992.5,1832.5,10047.5,14692.5,1742.5,9372.5,13517.5,1.4,8.7,4.8,-3.7,2.1,-3.5
All STAs,30,1,5,1,1892.5,9472.5,14062.5,1797.5,9957.5,15052.5,1742.5,9372.5,13517.5,-5.3,4.9,6.6,-8.6,-1.1,-4.0
P-EDCA STAs,5,1,3,3,1427.5,4867.5,8787.5,1542.5,6427.5,12532.5,1742.5,9372.5,13517.5,7.5,24.3,29.9,18.1,48.1,35.0
P-EDCA STAs,15,1,4,3,1812.5,7492.5,11782.5,1677.5,8542.5,13857.5,1742.5,9372.5,13517.5,-8.0,12.3,15.0,-4.0,20.1,12.8
P-EDCA STAs,30,1,5,1,1892.5,9477.5,14072.5,1797.5,9962.5,15052.5,1742.5,9372.5,13517.5,-5.3,4.9,6.5,-8.6,-1.1,-4.1
Legacy STAs,5,1,3,1,1757.5,9707.5,13932.5,1817.5,10082.5,14292.5,1742.5,9372.5,13517.5,3.3,3.7,2.5,-0.9,-3.6,-3.1
Legacy STAs,15,1,5,1,1862.5,10347.5,14757.5,2032.5,11132.5,15352.5,1742.5,9372.5,13517.5,8.4,7.1,3.9,-6.9,-10.4,-9.2
