mode,param_kind,combo,nPedca,P95_us,P95_vs_default_pct,P95_vs_edcaonly_pct,P99_us,P99_vs_default_pct,P99_vs_edcaonly_pct,pedca_loss_pct
mono-DS,default,c0_q02_s01,5,7712.5,0.00,-2.53,10447.5,0.00,-4.00,8.43
mono-DS,default,c0_q02_s01,15,7902.5,0.00,-0.13,11032.5,0.00,1.38,11.56
mono-DS,default,c0_q02_s01,30,7927.5,0.00,0.19,10902.5,0.00,0.18,11.67
mono-DS,best,c0_q02_s01,5,7712.5,0.00,-2.53,10447.5,0.00,-4.00,8.43
mono-DS,best,c0_q00_s03,15,7882.5,-0.25,-0.38,10632.5,-3.63,-2.30,9.52
mono-DS,best,c0_q01_s03,30,7847.5,-1.01,-0.82,10477.5,-3.90,-3.72,12.78
dual-DS,default,c0_q02_s01,5,6232.5,0.00,-21.23,8777.5,0.00,-19.34,4.53
dual-DS,default,c0_q02_s01,15,7202.5,0.00,-8.97,10987.5,0.00,0.96,7.84
dual-DS,default,c0_q02_s01,30,7927.5,0.00,0.19,12547.5,0.00,15.30,13.80
dual-DS,best,c0_q01_s03,5,3447.5,-44.69,-56.43,6522.5,-25.69,-40.06,1.19
dual-DS,best,c0_q05_s03,15,7732.5,7.36,-2.27,8302.5,-24.44,-23.71,2.14
dual-DS,best,c0_q04_s03,30,7947.5,0.25,0.44,10257.5,-18.25,-5.74,4.88
