==============================================================================================================
  MAC Delay Percentile Statistics
  dataRate=1Mbps  runs=10 (averaged)
  Generated: 2026-04-28 22:33:34
==============================================================================================================

        nSta       ratio         P50         P95         P99       P99.9
          22         80%      2377.5      8277.5     15752.5     22882.5
          22        100%      2322.5      8107.5     15012.5     22692.5

          23          0%      2272.5     10437.5     17557.5     24072.5
          23         20%      2217.5      9192.5     16437.5     23202.5
          23         40%      2382.5      9587.5     17242.5     24532.5
          23         60%      2427.5      8622.5     16412.5     23857.5
          23         80%      2447.5      8542.5     16727.5     24262.5
          23        100%      2467.5      8342.5     17137.5     25427.5

          24          0%      2452.5     11472.5     18322.5     25532.5
          24         20%      2447.5     10972.5     18137.5     25642.5
          24         40%      2542.5     10902.5     18292.5     25537.5
          24         60%      2397.5      9302.5     17267.5     25017.5
          24         80%      2502.5      9432.5     17697.5     25212.5
          24        100%      2457.5      8287.5     16752.5     25067.5

          25          0%      2382.5     11267.5     18252.5     25347.5
          25         20%      2492.5     11432.5     18712.5     25697.5
          25         40%      2487.5     10782.5     18512.5     25602.5
          25         60%      2437.5      9422.5     17382.5     25352.5
          25         80%      2492.5      9147.5     17532.5     25537.5
          25        100%      2512.5      8837.5     18082.5     26897.5

          26          0%      2297.5     10847.5     17852.5     24847.5
          26         20%      2347.5     10772.5     18147.5     25217.5
          26         40%      2432.5     10482.5     18192.5     25542.5
          26         60%      2432.5      9947.5     18412.5     26502.5
          26         80%      2427.5      8882.5     17397.5     25422.5
          26        100%      2507.5      8702.5     17992.5     26387.5

          27          0%      2467.5     12052.5     19137.5     26182.5
          27         20%      2507.5     11657.5     19052.5     26127.5
          27         40%      2457.5     10777.5     18417.5     25897.5
          27         60%      2507.5     10087.5     17992.5     26197.5
          27         80%      2527.5     10437.5     18752.5     26372.5
          27        100%      2507.5      8532.5     17652.5     26332.5

          28          0%      2522.5     12727.5     19982.5     27307.5
          28         20%      2547.5     12347.5     19762.5     26847.5
          28         40%      2462.5     10627.5     18402.5     25897.5
          28         60%      2552.5     11602.5     19657.5     27432.5
          28         80%      2372.5      9262.5     18172.5     26677.5
          28        100%      2487.5      9262.5     18157.5     27027.5

          29          0%      2532.5     12342.5     19502.5     26972.5
          29         20%      2472.5     11177.5     18482.5     25847.5
          29         40%      2492.5     11412.5     19537.5     27882.5
          29         60%      2527.5     10667.5     18692.5     26637.5
          29         80%      2537.5     10127.5     18697.5     26652.5
          29        100%      2407.5      8302.5     16787.5     24857.5

          30          0%      2762.5     13657.5     20922.5     28207.5
          30         20%      2402.5     10967.5     18517.5     25847.5
          30         40%      2497.5     10867.5     18352.5     26087.5
          30         60%      2512.5     10647.5     18912.5     26607.5
          30         80%      2667.5     12137.5     20452.5     28427.5
          30        100%      2582.5     10192.5     19157.5     28167.5

          31          0%      2487.5     12562.5     19887.5     27267.5
          31         20%      2592.5     12632.5     20132.5     28287.5
          31         40%      2457.5     11012.5     18652.5     26327.5
          31         60%      2407.5     10412.5     18772.5     26807.5
          31         80%      2377.5      8492.5     16687.5     24432.5
          31        100%      2422.5      9157.5     18302.5     26812.5

          32          0%      2607.5     12582.5     19677.5     27047.5
          32         20%      2592.5     12092.5     19732.5     27012.5
          32         40%      2622.5     12602.5     20652.5     28147.5
          32         60%      2627.5     12462.5     21057.5     29462.5
          32         80%      2702.5     12252.5     20437.5     29117.5
          32        100%      2517.5      9862.5     19017.5     27887.5

          33          0%      2522.5     12652.5     19982.5     27377.5
          33         20%      2617.5     12617.5     20282.5     28202.5
          33         40%      2652.5     12697.5     20407.5     28582.5
          33         60%      2417.5      9907.5     18567.5     27187.5
          33         80%      2552.5     10882.5     19737.5     29077.5
          33        100%      2582.5     10122.5     19117.5     27577.5

          34          0%      2767.5     13902.5     21252.5     28657.5
          34         20%      2602.5     12502.5     20192.5     27787.5
          34         40%      2582.5     11667.5     19667.5     28042.5
          34         60%      2607.5     11462.5     19472.5     27682.5
          34         80%      2527.5     10607.5     19372.5     26877.5
          34        100%      2497.5      8837.5     17617.5     25932.5

          35          0%      2677.5     13437.5     20717.5     28502.5
          35         20%      2622.5     12292.5     19927.5     27567.5
          35         40%      2752.5     13372.5     21527.5     29602.5
          35         60%      2507.5     11022.5     19272.5     27822.5
          35         80%      2522.5     10337.5     19242.5     27897.5
          35        100%      2497.5      9797.5     18907.5     27552.5

          36          0%      2612.5     13362.5     20832.5     27982.5
          36         20%      2677.5     13402.5     20972.5     28892.5
          36         40%      2607.5     12792.5     20642.5     28722.5
          36         60%      2642.5     12817.5     21232.5     29622.5
          36         80%      2542.5     10417.5     18852.5     27227.5
          36        100%      2522.5      9837.5     18752.5     26772.5

          37          0%      2672.5     13837.5     21227.5     29227.5
          37         20%      2722.5     13422.5     21077.5     28917.5
          37         40%      2602.5     12582.5     20537.5     28462.5
          37         60%      2577.5     11687.5     19597.5     27722.5
          37         80%      2517.5     10737.5     18982.5     27212.5
          37        100%      2517.5     10182.5     19362.5     28432.5

          38          0%      2647.5     13727.5     21117.5     28552.5
          38         20%      2687.5     13392.5     20857.5     28582.5
          38         40%      2632.5     12877.5     20982.5     29007.5
          38         60%      2642.5     12287.5     20602.5     28697.5
          38         80%      2527.5     10037.5     18647.5     27462.5
          38        100%      2537.5     11392.5     20437.5     29477.5

          39          0%      2807.5     13692.5     20987.5     28382.5
          39         20%      2747.5     13447.5     21007.5     28387.5
