sta_type,nPedca,min_p99_CWds,min_p99_QSRC,min_p99_PSRC,min_P50_us,min_P95_us,min_P99_us,default_P50_us,default_P95_us,default_P99_us,EDCA_only_P50_us,EDCA_only_P95_us,EDCA_only_P99_us,gain_vs_default_P50_%,gain_vs_default_P95_%,gain_vs_default_P99_%,gain_vs_EDCA_P50_%,gain_vs_EDCA_P95_%,gain_vs_EDCA_P99_%
All STAs,5,1,4,1,1967.5,10317.5,14032.5,1952.5,10312.5,14197.5,1822.5,10142.5,13747.5,-0.8,-0.0,1.2,-8.0,-1.7,-2.1
All STAs,15,1,4,1,2077.5,10387.5,14232.5,2107.5,10497.5,14712.5,1822.5,10142.5,13747.5,1.4,1.0,3.3,-14.0,-2.4,-3.5
All STAs,30,1,3,1,2202.5,10072.5,14532.5,2057.5,10117.5,14712.5,1822.5,10142.5,13747.5,-7.0,0.4,1.2,-20.9,0.7,-5.7
P-EDCA STAs,5,1,2,3,1782.5,6277.5,8997.5,1802.5,7322.5,12187.5,1822.5,10142.5,13747.5,1.1,14.3,26.2,2.2,38.1,34.6
P-EDCA STAs,15,1,3,3,2337.5,8982.5,12747.5,2022.5,9077.5,13787.5,1822.5,10142.5,13747.5,-15.6,1.0,7.5,-28.3,11.4,7.3
P-EDCA STAs,30,1,3,1,2202.5,10072.5,14532.5,2057.5,10122.5,14712.5,1822.5,10142.5,13747.5,-7.0,0.5,1.2,-20.9,0.7,-5.7
Legacy STAs,5,1,5,1,1942.5,10497.5,14257.5,1997.5,10752.5,14497.5,1822.5,10142.5,13747.5,2.8,2.4,1.7,-6.6,-3.5,-3.7
Legacy STAs,15,0,5,1,2157.5,11227.5,14887.5,2232.5,11587.5,15402.5,1822.5,10142.5,13747.5,3.4,3.1,3.3,-18.4,-10.7,-8.3
