model,nPedca,config,param,P50_us,P95_us,P99_us,loss_pct
cbr1M,5,EDCA-only,--,2407.5,7912.5,10882.5,11.09
cbr1M,5,mono-DS default,c0_q02_s01,2127.5,7712.5,10447.5,8.43
cbr1M,5,mono-DS best,c0_q02_s01,2127.5,7712.5,10447.5,8.43
cbr1M,5,dual-DS default,c0_q02_s01,2807.5,6232.5,8777.5,4.53
cbr1M,5,dual-DS best,c0_q01_s03,1742.5,3447.5,6522.5,1.19
cbr1M,15,EDCA-only,--,2407.5,7912.5,10882.5,11.09
cbr1M,15,mono-DS default,c0_q02_s01,2542.5,7902.5,11032.5,11.56
cbr1M,15,mono-DS best,c0_q00_s03,2582.5,7882.5,10632.5,9.52
cbr1M,15,dual-DS default,c0_q02_s01,3062.5,7202.5,10987.5,7.84
cbr1M,15,dual-DS best,c0_q05_s03,2187.5,7732.5,8302.5,2.14
cbr1M,30,EDCA-only,--,2407.5,7912.5,10882.5,11.09
cbr1M,30,mono-DS default,c0_q02_s01,2542.5,7927.5,10902.5,11.67
cbr1M,30,mono-DS best,c0_q01_s03,2337.5,7847.5,10477.5,12.78
cbr1M,30,dual-DS default,c0_q02_s01,3217.5,7927.5,12547.5,13.80
cbr1M,30,dual-DS best,c0_q04_s03,2477.5,7947.5,10257.5,4.88
lightload,5,EDCA-only,--,732.5,3567.5,5802.5,0.14
lightload,5,mono-DS default,c0_q02_s01,747.5,3157.5,5112.5,0.08
lightload,5,mono-DS best,c0_q01_s03,752.5,2367.5,4267.5,0.05
lightload,5,dual-DS default,c0_q02_s01,757.5,3107.5,4532.5,0.04
lightload,5,dual-DS best,c0_q01_s03,767.5,2117.5,2942.5,0.03
lightload,15,EDCA-only,--,732.5,3567.5,5802.5,0.14
lightload,15,mono-DS default,c0_q02_s01,732.5,3312.5,5192.5,0.08
lightload,15,mono-DS best,c0_q02_s02,737.5,3257.5,4927.5,0.09
lightload,15,dual-DS default,c0_q02_s01,757.5,3302.5,4762.5,0.06
lightload,15,dual-DS best,c0_q01_s03,882.5,2597.5,4062.5,0.06
lightload,30,EDCA-only,--,732.5,3567.5,5802.5,0.14
lightload,30,mono-DS default,c0_q02_s01,752.5,3597.5,5917.5,0.14
lightload,30,mono-DS best,c0_q03_s01,737.5,3627.5,5542.5,0.10
lightload,30,dual-DS default,c0_q02_s01,782.5,3837.5,5982.5,0.15
lightload,30,dual-DS best,c0_q03_s01,752.5,3762.5,5567.5,0.06
