mode,param_kind,combo,nPedca,P95_us,P95_vs_default_pct,P95_vs_edcaonly_pct,P99_us,P99_vs_default_pct,P99_vs_edcaonly_pct,pedca_loss_pct
mono-DS,default,c0_q02_s01,5,9552.5,0.00,-4.02,13277.5,0.00,-0.82,11.16
mono-DS,default,c0_q02_s01,15,10017.5,0.00,0.65,13587.5,0.00,1.49,14.28
mono-DS,default,c0_q02_s01,30,9992.5,0.00,0.40,13497.5,0.00,0.82,13.71
mono-DS,best,c0_q01_s01,5,9712.5,1.67,-2.41,13152.5,-0.94,-1.76,11.84
mono-DS,best,c1_q01_s01,15,9917.5,-1.00,-0.35,13412.5,-1.29,0.19,13.35
mono-DS,best,c0_q01_s02,30,9992.5,0.00,0.40,13312.5,-1.37,-0.56,15.85
dual-DS,default,c0_q02_s01,5,7017.5,0.00,-29.49,11702.5,0.00,-12.59,5.50
dual-DS,default,c0_q02_s01,15,8617.5,0.00,-13.41,13367.5,0.00,-0.15,9.99
dual-DS,default,c0_q02_s01,30,10517.5,0.00,5.68,15047.5,0.00,12.40,15.29
dual-DS,best,c1_q01_s03,5,4412.5,-37.12,-55.66,7322.5,-37.43,-45.30,1.36
dual-DS,best,c1_q03_s03,15,8822.5,2.38,-11.35,11672.5,-12.68,-12.81,3.08
dual-DS,best,c0_q04_s01,30,10627.5,1.05,6.78,14287.5,-5.05,6.72,11.07
