sta_type,nPedca,min_p99_CWds,min_p99_QSRC,min_p99_PSRC,min_P50_us,min_P95_us,min_P99_us,default_P50_us,default_P95_us,default_P99_us,EDCA_only_P50_us,EDCA_only_P95_us,EDCA_only_P99_us,gain_vs_default_P50_%,gain_vs_default_P95_%,gain_vs_default_P99_%,gain_vs_EDCA_P50_%,gain_vs_EDCA_P95_%,gain_vs_EDCA_P99_%
All STAs,5,0,3,1,347.5,622.5,817.5,347.5,627.5,937.5,347.5,632.5,992.5,0.0,0.8,12.8,0.0,1.6,17.6
All STAs,15,1,5,2,347.5,627.5,842.5,347.5,627.5,962.5,347.5,632.5,992.5,0.0,0.0,12.5,0.0,0.8,15.1
All STAs,30,0,5,1,347.5,627.5,852.5,347.5,632.5,992.5,347.5,632.5,992.5,0.0,0.8,14.1,0.0,0.8,14.1
P-EDCA STAs,5,0,3,1,347.5,697.5,792.5,347.5,702.5,797.5,347.5,632.5,992.5,0.0,0.7,0.6,0.0,-10.3,20.2
P-EDCA STAs,15,1,3,2,347.5,607.5,982.5,347.5,612.5,1067.5,347.5,632.5,992.5,0.0,0.8,8.0,0.0,4.0,1.0
P-EDCA STAs,30,0,5,1,347.5,627.5,852.5,347.5,632.5,992.5,347.5,632.5,992.5,0.0,0.8,14.1,0.0,0.8,14.1
Legacy STAs,5,0,3,1,347.5,602.5,847.5,347.5,612.5,997.5,347.5,632.5,992.5,0.0,1.6,15.0,0.0,4.7,14.6
Legacy STAs,15,0,2,2,347.5,652.5,812.5,347.5,657.5,837.5,347.5,632.5,992.5,0.0,0.8,3.0,0.0,-3.2,18.1
