sta_type,nPedca,min_p99_CWds,min_p99_QSRC,min_p99_PSRC,min_P50_us,min_P95_us,min_P99_us,default_P50_us,default_P95_us,default_P99_us,EDCA_only_P50_us,EDCA_only_P95_us,EDCA_only_P99_us,gain_vs_default_P50_%,gain_vs_default_P95_%,gain_vs_default_P99_%,gain_vs_EDCA_P50_%,gain_vs_EDCA_P95_%,gain_vs_EDCA_P99_%
All STAs,5,0,2,1,732.5,3597.5,5712.5,732.5,3597.5,5712.5,732.5,3567.5,5797.5,0.0,0.0,0.0,0.0,-0.8,1.5
All STAs,15,1,5,2,737.5,3587.5,5847.5,752.5,3797.5,6032.5,732.5,3567.5,5797.5,2.0,5.5,3.1,-0.7,-0.6,-0.9
All STAs,30,0,5,1,737.5,3652.5,6002.5,777.5,4162.5,6487.5,732.5,3567.5,5797.5,5.1,12.3,7.5,-0.7,-2.4,-3.5
P-EDCA STAs,5,1,0,3,917.5,2212.5,3632.5,752.5,3582.5,5287.5,732.5,3567.5,5797.5,-21.9,38.2,31.3,-25.3,38.0,37.3
P-EDCA STAs,15,1,2,2,752.5,3742.5,5417.5,752.5,3707.5,5607.5,732.5,3567.5,5797.5,0.0,-0.9,3.4,-2.7,-4.9,6.6
P-EDCA STAs,30,0,5,1,737.5,3652.5,6002.5,777.5,4162.5,6487.5,732.5,3567.5,5797.5,5.1,12.3,7.5,-0.7,-2.4,-3.5
Legacy STAs,5,0,5,3,727.5,3527.5,5677.5,727.5,3602.5,5812.5,732.5,3567.5,5797.5,0.0,2.1,2.3,0.7,1.1,2.1
Legacy STAs,15,1,5,2,737.5,3587.5,5772.5,757.5,3917.5,6447.5,732.5,3567.5,5797.5,2.6,8.4,10.5,-0.7,-0.6,0.4
