nSta,DataRate,AC,MAC_Throughput_Mbps,Loss_Pct,Retransmissions,E2E_Delay_us,AirDelay_us
22,1Mbps,VO,14.01424,39.61898,1.20475,100891.00000,202.00000
24,1Mbps,BE,0.00086,97.56270,0.01663,330847.00000,65.84000
24,1Mbps,BK,0.01440,99.94310,0.00000,495521.20000,202.00000
24,1Mbps,VI,0.49200,39.83370,0.30719,140462.18000,202.00000
24,1Mbps,VO,13.95122,44.89964,1.22641,96808.38000,202.00000
26,1Mbps,BE,0.00149,96.91392,0.03064,516670.00000,74.08572
26,1Mbps,BK,0.01936,99.92946,0.00000,491403.80000,202.00000
26,1Mbps,VI,0.53386,46.43456,0.31948,136168.62000,202.00000
26,1Mbps,VO,13.50446,50.76988,1.23067,90878.44000,202.00000
28,1Mbps,BE,0.00178,97.63972,0.01013,397728.00000,67.15548
28,1Mbps,BK,0.01305,99.95580,0.00000,522627.00000,202.00000
28,1Mbps,VI,0.43753,49.18402,0.28777,152921.60000,202.00000
28,1Mbps,VO,13.95008,52.77430,1.09523,117273.00000,202.00000
30,1Mbps,BE,0.00212,98.26912,0.01724,512850.20000,66.58000
30,1Mbps,BK,0.01080,99.96588,0.00000,495122.40000,202.00000
30,1Mbps,VI,0.49717,53.52128,0.29306,145810.18000,202.00000
30,1Mbps,VO,13.40114,57.65738,1.14690,110479.64000,202.00000
32,1Mbps,BE,0.00041,96.89664,0.00966,382257.20000,54.00000
32,1Mbps,BK,0.01238,99.96334,0.00000,495905.20000,202.00000
32,1Mbps,VI,0.43708,57.79162,0.29279,151806.78000,202.00000
32,1Mbps,VO,13.15854,61.02412,1.12814,107235.86000,202.00000
34,1Mbps,BE,0.00056,97.89236,0.01738,444458.20000,54.00000
34,1Mbps,BK,0.01080,99.96986,0.00000,495159.80000,202.00000
34,1Mbps,VI,0.42785,59.58704,0.29287,150371.42000,202.00000
34,1Mbps,VO,13.41666,62.59470,1.10130,114803.18000,202.00000
36,1Mbps,BE,0.00200,98.40004,0.01204,466577.60000,74.94430
36,1Mbps,BK,0.00900,99.97632,0.00000,589702.60000,202.00000
36,1Mbps,VI,0.47849,62.66272,0.28663,150920.80000,202.00000
36,1Mbps,VO,13.11034,65.48130,1.14463,114551.70000,202.00000
38,1Mbps,BE,0.00055,98.43250,0.00897,408549.40000,61.40000
38,1Mbps,BK,0.01170,99.97078,0.00000,545773.40000,202.00000
38,1Mbps,VI,0.41952,64.58366,0.29143,147643.20000,202.00000
38,1Mbps,VO,13.10674,67.30738,1.11498,108492.42000,202.00000
40,1Mbps,BE,0.00043,98.85760,0.02066,438581.00000,54.00000
40,1Mbps,BK,0.01283,99.96962,0.00000,492650.20000,202.00000
40,1Mbps,VI,0.50122,67.26980,0.31011,135086.20000,202.00000
40,1Mbps,VO,12.59746,70.14846,1.18130,105202.74000,202.00000
