VO_Ratio,nSta,Scenario,Avg_Delay_us,Avg_Throughput_Mbps,Avg_Loss_Percent,Avg_Retx_Ratio
0.05,34,edca_scenario,1501.7500,0.0500,0.7110,0.7640
0.05,36,edca_scenario,1983.6340,0.0500,2.3060,1.0040
0.05,36,pedca_scenario,2070.2360,0.0500,1.0560,0.8700
0.05,38,pedca_scenario,2780.0820,0.0500,2.3330,1.1670
0.05,38,edca_scenario,2503.1190,0.0480,3.1590,1.1740
0.05,40,pedca_scenario,3014.3130,0.0500,3.9060,1.2120
0.05,40,edca_scenario,2795.7570,0.0480,7.6710,1.2230
0.05,42,pedca_scenario,3425.2210,0.0460,8.3680,1.3820
0.05,42,edca_scenario,3261.3500,0.0440,10.1210,1.4580
0.05,44,edca_scenario,3541.9360,0.0410,13.2350,1.6830
0.05,44,pedca_scenario,3891.5620,0.0440,10.2390,1.6180
0.05,46,edca_scenario,3886.3820,0.0410,17.9770,1.7330
0.01,2,pedca_scenario,255.6540,0.0100,0.0000,0.0000
0.01,2,edca_scenario,256.1450,0.0100,0.0000,0.0000
0.01,4,pedca_scenario,232.0460,0.0100,0.0000,0.0090
0.01,4,edca_scenario,227.1550,0.0100,0.0000,0.0000
0.01,6,edca_scenario,266.0810,0.0100,0.0000,0.0000
0.01,6,pedca_scenario,266.0810,0.0100,0.0000,0.0000
0.01,8,pedca_scenario,228.9640,0.0100,0.0000,0.0090
0.01,8,edca_scenario,228.9640,0.0100,0.0000,0.0090
0.01,10,edca_scenario,354.1350,0.0100,0.0000,0.0540
0.01,10,pedca_scenario,368.9540,0.0100,0.0000,0.0720
0.01,12,pedca_scenario,286.5830,0.0100,0.0000,0.0450
0.01,12,edca_scenario,290.8010,0.0100,0.0000,0.0450
0.01,14,pedca_scenario,268.6630,0.0100,0.0000,0.0000
0.01,14,edca_scenario,266.0190,0.0100,0.0000,0.0000
0.01,16,pedca_scenario,289.4910,0.0100,0.0000,0.0450
0.01,16,edca_scenario,285.5370,0.0100,0.0000,0.0090
0.05,50,edca_scenario,4952.0370,0.0290,33.2440,2.2220
0.01,18,pedca_scenario,380.3190,0.0100,0.0000,0.1360
0.01,18,edca_scenario,390.4000,0.0100,0.0000,0.1270
0.01,20,edca_scenario,356.6650,0.0100,0.0000,0.0540
0.01,20,pedca_scenario,394.3180,0.0100,0.0000,0.0540
0.01,22,edca_scenario,386.3000,0.0100,0.0000,0.1260
0.01,22,pedca_scenario,382.4820,0.0100,0.0000,0.0990
0.01,24,edca_scenario,548.5010,0.0100,0.0000,0.2900
0.01,24,pedca_scenario,615.8820,0.0100,0.0000,0.2720
0.01,26,pedca_scenario,682.7730,0.0100,0.0000,0.3720
0.01,26,edca_scenario,576.9100,0.0100,0.0000,0.2810
0.01,28,edca_scenario,622.5900,0.0100,0.0000,0.2700
0.01,28,pedca_scenario,662.7370,0.0100,0.0000,0.2610
0.01,30,pedca_scenario,682.8740,0.0100,0.0000,0.3440
0.01,30,edca_scenario,699.2080,0.0100,0.0000,0.3340
0.01,32,edca_scenario,1383.3260,0.0100,0.0000,0.8260
0.01,32,pedca_scenario,1320.4660,0.0100,0.9090,0.6620
0.01,34,pedca_scenario,1830.1210,0.0100,1.8180,0.8280
0.01,34,edca_scenario,1941.1460,0.0100,0.9090,0.9690
0.01,36,edca_scenario,2820.3180,0.0100,4.5450,1.4960
0.01,36,pedca_scenario,2760.2580,0.0100,4.5450,1.2340
0.01,38,pedca_scenario,3048.7650,0.0100,4.5450,1.3670
0.01,38,edca_scenario,3112.1440,0.0100,9.0900,1.4380
0.01,40,pedca_scenario,3335.9020,0.0100,6.4540,1.3830
0.01,40,edca_scenario,2978.7310,0.0100,8.3830,1.5050
0.01,42,pedca_scenario,3629.4160,0.0100,8.2720,1.5100
0.01,42,edca_scenario,3046.2830,0.0100,9.9990,1.4130
0.01,46,edca_scenario,4627.1190,0.0090,24.5440,2.0310
0.01,48,pedca_scenario,4705.2910,0.0100,17.6580,1.9370
