nSta,DataRate,AC,MAC_Throughput_Mbps,Loss_Pct,Retransmissions,E2E_Delay_us,Queue_Delay_us,Access_Delay_us
32,1Mbps,VO,10.44607,21.49430,0.00000,13682.54000,13436.54000,246.00000
34,1Mbps,BE,0.95893,91.19584,0.00000,237483.40000,50207.66000,191706.16000
34,1Mbps,BK,0.00576,99.95834,0.00000,494901.20000,494655.20000,246.00000
34,1Mbps,VI,7.82421,42.07144,0.00000,19203.38000,18554.84000,648.52480
34,1Mbps,VO,10.32875,24.43828,0.00000,14264.70000,14018.70200,246.00000
36,1Mbps,BE,0.95381,91.76142,0.00000,237686.40000,129780.20000,148444.52000
36,1Mbps,BK,0.00875,99.94242,0.00000,496345.20000,496099.20000,246.00000
36,1Mbps,VI,7.48587,49.87058,0.00000,22767.00000,22128.84000,638.17320
36,1Mbps,VO,10.67669,29.76168,0.00000,16279.60000,16033.60000,246.00000
38,1Mbps,BE,0.69632,94.22274,0.00000,238771.80000,32462.04000,163924.00000
38,1Mbps,BK,0.00427,99.96974,0.00000,482203.80000,481957.80000,246.00000
38,1Mbps,VI,7.75381,45.76376,0.00000,19077.46000,18431.50000,645.96640
38,1Mbps,VO,10.49728,26.80402,0.00000,14070.74000,13824.74000,246.00000
40,1Mbps,BE,0.96363,92.00640,0.00000,253504.60000,112816.46000,187774.54000
40,1Mbps,BK,0.00597,99.95850,0.00000,485093.60000,484847.60000,246.00000
40,1Mbps,VI,7.55754,48.52616,0.00000,20040.58000,19398.52000,642.06620
40,1Mbps,VO,10.53760,28.54904,0.00000,15162.38000,14916.38000,246.00000
