nSta,DataRate,AC,MAC_Throughput_Mbps,Loss_Pct,Retransmissions,E2E_Delay_us,AirDelay_us
2,0.5Mbps,BE,1.05556,0.00000,0.00874,404.45480,202.00000
2,0.5Mbps,BK,1.05489,0.02132,0.00128,376.20180,202.00000
2,0.5Mbps,VI,1.05466,0.02134,0.00128,225.35240,202.00000
2,0.5Mbps,VO,1.05534,0.00000,0.00000,222.56560,202.00000
4,0.5Mbps,BE,2.10910,0.00000,0.01824,362.74760,202.00000
4,0.5Mbps,BK,2.11045,0.00000,0.00181,573.75460,202.00000
4,0.5Mbps,VI,2.11000,0.01067,0.02773,465.74300,202.00000
4,0.5Mbps,VO,2.11000,0.00000,0.04584,381.10400,202.00000
6,0.5Mbps,BE,3.16466,0.00000,0.02568,577.35980,202.00000
6,0.5Mbps,BK,3.16466,0.00711,0.05142,1075.79620,202.00000
6,0.5Mbps,VI,3.16421,0.00711,0.04041,482.25580,202.00000
6,0.5Mbps,VO,3.16466,0.00711,0.01842,391.28540,202.00000
8,0.5Mbps,BE,4.21707,0.03200,0.20522,2106.97600,202.00000
8,0.5Mbps,BK,4.21955,0.03199,0.19663,3228.06000,202.00000
8,0.5Mbps,VI,4.22022,0.02666,0.19808,985.79400,202.00000
8,0.5Mbps,VO,4.22000,0.02133,0.24758,750.03620,202.00000
10,0.5Mbps,BE,3.89208,2.28288,0.50468,20280.40000,202.00000
10,0.5Mbps,BK,1.58627,69.93250,0.20819,466745.00000,202.00000
10,0.5Mbps,VI,5.21119,0.13654,0.62685,6332.71400,202.00000
10,0.5Mbps,VO,5.25621,0.39242,0.65583,1800.54600,202.00000
12,0.5Mbps,BE,0.10353,69.85778,0.32151,205111.00000,202.00000
12,0.5Mbps,BK,0.02071,99.67290,0.00294,490640.40000,202.00000
12,0.5Mbps,VI,3.80475,1.88793,1.56272,13424.78000,202.00000
12,0.5Mbps,VO,5.70454,9.94134,2.13730,5619.73200,202.00000
14,0.5Mbps,BE,0.03068,86.99514,0.18962,258602.60000,196.45000
14,0.5Mbps,BK,0.00450,99.93906,0.00000,392887.00000,161.60000
14,0.5Mbps,VI,2.28105,4.38922,1.54581,26072.98000,202.00000
14,0.5Mbps,VO,5.37279,27.23876,3.11273,8104.52000,202.00000
16,0.5Mbps,BE,0.00929,93.63882,0.09999,358798.80000,191.64000
16,0.5Mbps,BK,0.00270,99.96800,0.00000,490149.00000,202.00000
16,0.5Mbps,VI,1.62363,8.32425,1.41890,36873.16000,202.00000
16,0.5Mbps,VO,5.07548,39.87752,3.59459,9186.18000,202.00000
18,0.5Mbps,BE,0.01052,94.73058,0.08757,270117.40000,129.48000
18,0.5Mbps,BK,0.00225,99.97630,0.00000,372652.20000,161.60000
18,0.5Mbps,VI,1.56241,15.76134,1.30997,47610.34000,202.00000
18,0.5Mbps,VO,4.81282,49.32266,3.83083,9715.57400,202.00000
20,0.5Mbps,BE,0.00364,95.69132,0.08221,309835.80000,88.61548
20,0.5Mbps,BK,0.00180,99.98294,0.00870,296537.60000,121.20000
20,0.5Mbps,VI,1.38416,22.15782,1.24294,50988.62000,202.00000
20,0.5Mbps,VO,4.72527,55.21686,3.88822,10195.25400,202.00000
22,0.5Mbps,BE,0.00762,96.86404,0.09086,479427.60000,110.91320
