nSta,DataRate,AC,MAC_Throughput_Mbps,Loss_Pct,Retransmissions,E2E_Delay_us,Queue_Delay_us,Access_Delay_us
32,0.5Mbps,BE,1.20341,85.84804,0.00000,181246.60000,58605.34600,122641.08000
32,0.5Mbps,BK,0.00405,99.95240,0.00000,443063.80000,442817.80000,246.00000
32,0.5Mbps,VI,5.47797,39.78442,0.00000,12043.30000,11735.10000,308.21660
32,0.5Mbps,VO,5.69131,37.49136,0.00000,6512.23800,6266.23800,246.00000
34,0.5Mbps,BE,1.53536,80.59598,0.00000,166356.60000,39517.04000,128822.96000
34,0.5Mbps,BK,0.00917,99.87064,0.00000,452282.20000,452036.20000,246.00000
34,0.5Mbps,VI,5.49589,34.26984,0.00000,11607.10000,11300.92600,306.15380
34,0.5Mbps,VO,5.70645,31.88410,0.00000,6311.61200,6065.61200,246.00000
36,0.5Mbps,BE,1.47477,83.07252,0.00000,191079.80000,85451.06400,105628.86000
36,0.5Mbps,BK,0.00363,99.95784,0.00000,448376.40000,448130.40000,246.00000
36,0.5Mbps,VI,5.42187,40.67396,0.00000,12231.04000,11925.26000,305.78140
36,0.5Mbps,VO,5.57035,38.98430,0.00000,6416.63600,6170.63600,246.00000
38,0.5Mbps,BE,1.38965,83.52150,0.00000,178027.00000,18033.64200,166858.40000
38,0.5Mbps,BK,0.00299,99.96646,0.00000,317845.40000,317648.60000,196.80000
38,0.5Mbps,VI,5.42144,39.80172,0.00000,12186.66000,11880.76000,305.91420
38,0.5Mbps,VO,5.61643,37.67054,0.00000,6428.17200,6182.17200,246.00000
40,0.5Mbps,BE,1.74763,79.27998,0.00000,172205.80000,20751.08000,159218.40000
40,0.5Mbps,BK,0.00427,99.94920,0.00000,320479.00000,320282.20000,196.80000
40,0.5Mbps,VI,5.35915,39.01948,0.00000,12119.78000,11812.46000,307.31420
40,0.5Mbps,VO,5.57653,36.61536,0.00000,6420.66600,6174.66600,246.00000
