VO_Ratio,nSta,Scenario,Avg_Delay_us,Avg_Throughput_Mbps,Avg_Loss_Percent,Avg_Retx_Ratio
0.01,6,pedca_scenario,242.3400,0.0000,0.0000,0.0000
0.05,38,edca_scenario,381.1830,0.0200,0.0000,0.0970
0.01,8,pedca_scenario,222.0200,0.0000,0.0000,0.0000
0.01,8,edca_scenario,222.0200,0.0000,0.0000,0.0000
0.05,38,pedca_scenario,382.1800,0.0200,0.0000,0.0930
0.01,10,pedca_scenario,268.1800,0.0000,0.0000,0.0000
0.01,10,edca_scenario,268.5400,0.0000,0.0000,0.0000
0.01,12,edca_scenario,244.1200,0.0000,0.0000,0.0000
0.01,12,pedca_scenario,243.7600,0.0000,0.0000,0.0000
0.01,14,pedca_scenario,226.4600,0.0000,0.0000,0.0000
0.01,14,edca_scenario,226.1600,0.0000,0.0000,0.0000
0.05,40,edca_scenario,365.6000,0.0200,0.0000,0.0610
0.01,16,edca_scenario,230.6600,0.0000,0.0000,0.0200
0.05,40,pedca_scenario,409.2180,0.0200,0.0000,0.1220
0.01,16,pedca_scenario,229.7600,0.0000,0.0000,0.0200
0.01,18,pedca_scenario,278.5600,0.0000,0.0000,0.0800
0.01,18,edca_scenario,289.7600,0.0000,0.0000,0.0800
0.01,20,edca_scenario,267.9400,0.0000,0.0000,0.0000
0.01,20,pedca_scenario,264.0600,0.0000,0.0000,0.0000
0.01,22,edca_scenario,279.7400,0.0000,0.0000,0.0000
0.01,22,pedca_scenario,278.9400,0.0000,0.0000,0.0000
0.01,24,pedca_scenario,265.0800,0.0000,0.0000,0.0400
0.01,24,edca_scenario,258.6200,0.0000,0.0000,0.0200
0.01,26,pedca_scenario,280.8200,0.0000,0.0000,0.1000
0.01,26,edca_scenario,285.3600,0.0000,0.0000,0.1000
0.01,28,pedca_scenario,394.5200,0.0000,0.0000,0.1000
0.01,28,edca_scenario,414.9600,0.0000,0.0000,0.1000
0.01,30,pedca_scenario,324.1400,0.0000,0.0000,0.0200
0.01,30,edca_scenario,334.3800,0.0000,0.0000,0.0400
0.01,32,pedca_scenario,300.6200,0.0000,0.0000,0.0600
0.01,32,edca_scenario,317.1200,0.0000,0.0000,0.1200
0.01,34,pedca_scenario,311.0600,0.0000,0.0000,0.0200
0.01,34,edca_scenario,319.8800,0.0000,0.0000,0.0600
0.01,36,edca_scenario,365.4800,0.0000,0.0000,0.0400
0.01,36,pedca_scenario,365.3600,0.0000,0.0000,0.0800
0.01,38,pedca_scenario,460.3600,0.0000,0.0000,0.1400
0.01,38,edca_scenario,389.7600,0.0000,0.0000,0.0400
0.01,40,edca_scenario,459.3400,0.0000,0.0000,0.2000
0.01,40,pedca_scenario,398.2400,0.0000,0.0000,0.1800
