VO_Ratio,nSta,Scenario,Avg_Delay_us,Avg_Throughput_Mbps,Avg_Loss_Percent,Avg_Retx_Ratio
0.1,2,edca_scenario,224.6170,0.2000,0.0000,0.0000
0.1,2,pedca_scenario,224.6050,0.2000,0.0000,0.0000
0.1,4,edca_scenario,222.8300,0.2000,0.0000,0.0000
0.1,4,pedca_scenario,222.8300,0.2000,0.0000,0.0000
0.1,6,edca_scenario,283.2270,0.2000,0.0000,0.0200
0.1,6,pedca_scenario,283.0680,0.2000,0.0000,0.0200
0.1,8,edca_scenario,316.5260,0.2000,0.0000,0.0380
0.1,8,pedca_scenario,315.8150,0.2000,0.0000,0.0330
0.1,10,pedca_scenario,305.4570,0.2000,0.0000,0.0220
0.1,10,edca_scenario,302.8330,0.2000,0.0000,0.0220
0.1,12,pedca_scenario,414.6250,0.2000,0.0000,0.1070
0.1,12,edca_scenario,408.7450,0.2000,0.0000,0.1040
0.1,14,edca_scenario,487.8950,0.2000,0.0000,0.1580
0.1,14,pedca_scenario,510.6390,0.2000,0.0000,0.1800
0.1,16,pedca_scenario,722.7250,0.2000,0.0000,0.3380
0.1,16,edca_scenario,698.0570,0.2000,0.0440,0.3410
0.1,18,pedca_scenario,1024.0460,0.2000,0.0880,0.4520
0.1,18,edca_scenario,1001.5950,0.2000,0.3100,0.4960
0.1,20,pedca_scenario,2781.0320,0.1980,1.6890,1.0560
0.1,20,edca_scenario,2670.8380,0.1940,2.8010,1.1440
0.1,22,pedca_scenario,3357.5180,0.1950,2.5780,1.2540
0.1,22,edca_scenario,3210.1390,0.1910,4.6250,1.3770
0.1,24,edca_scenario,4119.9230,0.1820,8.8480,1.7450
0.1,24,pedca_scenario,4240.8990,0.1850,6.5410,1.5510
0.1,26,edca_scenario,4151.5190,0.1810,9.8650,1.7300
0.1,26,pedca_scenario,4337.2290,0.1830,8.7520,1.5650
0.1,30,pedca_scenario,5883.7550,0.1630,16.9240,2.0270
0.1,30,edca_scenario,5446.9270,0.1540,23.0210,2.2050
0.1,32,pedca_scenario,6800.0470,0.1380,30.9850,2.3120
0.1,34,pedca_scenario,6138.3970,0.1510,24.4490,2.1050
0.05,2,pedca_scenario,226.0850,0.1000,0.0000,0.0000
0.05,2,edca_scenario,226.0300,0.1000,0.0000,0.0000
0.05,4,pedca_scenario,266.7540,0.1000,0.0000,0.0080
0.05,4,edca_scenario,265.7470,0.1000,0.0000,0.0040
0.1,38,edca_scenario,6239.9910,0.1310,32.4520,2.2850
0.05,6,edca_scenario,277.9820,0.1000,0.0000,0.0170
0.05,6,pedca_scenario,278.8880,0.1000,0.0000,0.0180
0.1,38,pedca_scenario,6620.4820,0.1430,26.9680,2.1770
0.05,8,edca_scenario,334.4990,0.1000,0.0000,0.0730
0.05,8,pedca_scenario,342.0190,0.1000,0.0000,0.0800
0.1,40,pedca_scenario,7492.6340,0.1240,37.2570,2.3800
0.05,10,pedca_scenario,388.9990,0.1000,0.0000,0.0670
0.05,10,edca_scenario,390.2920,0.1000,0.0000,0.0710
0.05,12,pedca_scenario,460.7720,0.1000,0.0000,0.1460
0.05,12,edca_scenario,473.3250,0.1000,0.0000,0.1630
0.05,14,edca_scenario,576.1650,0.1000,0.0000,0.2600
0.05,14,pedca_scenario,556.5370,0.1000,0.0000,0.1870
0.05,16,pedca_scenario,728.0880,0.1000,0.0000,0.3190
0.05,16,edca_scenario,689.5370,0.1000,0.0890,0.3100
0.05,18,edca_scenario,1888.9460,0.1000,0.7980,0.8660
