N_Sta,Access_Category,Throughput_Mbps,Packet_Loss_Pct,Queue_Delay_us,Access_Delay_us,Retransmission_Ratio
2,VO,1.0000,0.0000,11.54,212.00,0.0000
2,VI,1.0004,0.0000,9.42,212.00,0.0000
2,BE,0.9997,0.0000,19.55,212.00,0.0000
2,BK,1.0000,0.0000,67.36,212.00,0.0000
4,VO,1.9997,0.0000,76.77,257.04,0.0705
4,VI,2.0000,0.0000,49.36,232.16,0.0432
4,BE,2.0001,0.0000,94.04,216.69,0.0058
4,BK,2.0002,0.0000,116.54,213.24,0.0016
6,VO,2.9999,0.0000,75.16,235.93,0.0420
6,VI,3.0001,0.0000,125.13,249.54,0.0494
6,BE,2.9997,0.0000,135.94,246.25,0.0439
6,BK,2.9995,0.0000,145.89,240.05,0.0326
8,VO,3.9998,0.0000,87.15,232.69,0.0375
8,VI,3.9997,0.0000,117.02,247.64,0.0619
8,BE,4.0002,0.0000,230.27,283.26,0.0552
8,BK,4.0006,0.0000,428.36,343.13,0.0644
10,VO,4.9996,0.0000,146.48,284.88,0.1202
10,VI,4.9997,0.0000,188.29,300.38,0.1126
10,BE,4.9993,0.0000,455.74,413.73,0.1271
10,BK,5.0003,0.0000,707.07,485.88,0.1193
12,VO,5.9968,0.0474,240.52,488.07,0.3371
12,VI,5.9981,0.0341,369.92,601.88,0.3390
12,BE,5.9993,0.0000,1255.62,1617.95,0.3699
12,BK,4.4625,22.5766,270860.70,8714.93,0.5986
14,VO,6.6990,4.2816,632.63,2064.46,1.1571
14,VI,6.8097,2.6793,1302.83,3633.29,1.1796
14,BE,6.0176,12.4387,57076.28,31276.93,0.6419
14,BK,0.3492,94.7391,456798.70,5674.92,0.1455
16,VO,6.2708,21.5764,948.58,4096.33,2.0133
16,VI,7.4556,6.7320,4054.30,9571.97,1.6811
16,BE,1.7481,75.3848,122132.52,30852.36,0.2956
16,BK,0.0384,99.4964,474106.60,7824.05,0.0437
18,VO,5.2283,41.9173,1307.28,4981.02,2.3874
18,VI,8.3681,6.9155,12667.93,15245.94,1.4516
18,BE,0.6900,91.2017,150488.04,18971.77,0.1464
18,BK,0.0081,99.9060,484774.50,212.00,0.0000
20,VO,4.6343,53.3546,1774.79,5267.58,2.4804
20,VI,9.2717,6.6376,26331.63,18994.41,1.1688
20,BE,0.3616,95.6590,198777.44,31727.14,0.1143
20,BK,0.0073,99.9235,480682.89,7069.39,0.0185
22,VO,3.9943,63.3642,2371.13,5326.18,2.5172
22,VI,9.9787,8.1719,44538.92,21178.78,0.9443
22,BE,0.2810,96.9828,183564.00,14868.38,0.0450
22,BK,0.0055,99.9475,472642.90,5955.66,0.0143
24,VO,3.5712,69.3305,2972.46,5269.99,2.5152
24,VI,10.3732,10.7859,60758.09,21901.49,0.7738
24,BE,0.2346,97.6233,193309.89,17506.21,0.0915
24,BK,0.0039,99.9658,490563.44,212.00,0.0000
26,VO,2.9998,76.1820,3611.69,5174.27,2.5550
26,VI,10.5919,15.4484,78672.76,21048.50,0.7095
26,BE,0.1536,98.5780,254670.00,19850.85,0.0091
26,BK,0.0023,99.9810,484160.60,212.00,0.0000
28,VO,3.2624,73.7848,3978.52,5159.83,2.4370
28,VI,10.7358,13.6534,77447.05,21824.37,0.6994
28,BE,0.1886,98.2597,174399.00,62125.25,0.0238
28,BK,0.0025,99.9791,439558.30,190.80,0.0000
30,VO,2.9209,77.9528,5039.55,5070.42,2.4416
30,VI,10.7216,18.5728,93451.60,21209.63,0.5793
30,BE,0.1605,98.6474,178600.60,25965.18,0.0431
30,BK,0.0023,99.9818,486307.30,212.00,0.0000
32,VO,2.6703,80.2182,4657.87,5011.90,2.4823
32,VI,10.8091,19.4551,97951.91,21135.46,0.5583
32,BE,0.0839,99.3078,132673.28,127438.75,0.0380
32,BK,0.0013,99.9898,395114.90,169.60,0.0000
34,VO,2.5855,80.5003,4849.77,4948.56,2.4912
34,VI,10.7235,19.9100,96874.54,20632.75,0.5871
34,BE,0.1639,98.5584,141894.30,87863.09,0.0073
34,BK,0.0015,99.9881,388207.40,169.60,0.0000
36,VO,2.6681,80.4612,6102.38,4861.76,2.3756
36,VI,10.9007,19.8331,100585.22,21023.97,0.5490
36,BE,0.2147,98.1714,171959.67,26474.99,0.0033
36,BK,0.0014,99.9895,437927.78,188.44,0.0000
38,VO,2.7727,79.0081,4873.05,4995.64,2.4840
38,VI,10.6654,18.9945,96484.83,21334.49,0.5841
38,BE,0.1891,98.3765,127189.66,79554.31,0.0157
38,BK,0.0016,99.9872,294736.60,127.20,0.0000
40,VO,2.5601,81.2458,5308.63,4973.10,2.4816
40,VI,10.6923,21.1386,98877.71,20951.79,0.5663
40,BE,0.1298,98.9331,92956.91,107089.42,0.0083
40,BK,0.0013,99.9898,345875.20,148.40,0.0000
