rank,CWds,QSRC,PSRC,pedca_ontime_10ms_pct,pedca_P50_us,pedca_P95_us,pedca_P99_us,pedca_loss_pct,legacy_loss_pct,legacy_P99_us
1,0,2,1,83.46,1864.2,9547.5,13100.8,12.82,12.63,13352.5
2,0,1,2,82.53,1785.8,9689.2,13167.5,13.63,14.50,13387.5
3,0,3,1,82.41,1984.2,9777.5,13237.5,13.63,13.96,13492.5
4,0,1,1,82.26,1797.5,9714.2,13249.2,13.84,13.54,13450.0
5,0,1,3,81.76,1850.8,9700.8,13252.5,14.40,15.98,13450.0
6,0,4,1,82.77,1957.5,9819.2,13265.8,13.20,13.61,13520.0
7,0,2,2,82.72,1947.5,9704.2,13270.8,13.38,14.08,13482.5
8,0,3,2,83.67,1930.8,9679.2,13327.5,12.42,13.28,13400.0
9,0,4,2,83.62,1955.8,9787.5,13352.5,12.34,13.41,13485.0
10,0,2,3,84.05,1940.8,9694.2,13372.5,12.01,13.94,13427.5
11,0,5,1,83.46,1937.5,9959.2,13394.2,12.22,11.97,13390.0
12,0,3,3,83.16,1982.5,9860.8,13559.2,12.71,14.44,13487.5
13,0,0,3,82.11,2140.8,10059.2,13584.2,13.46,15.74,13492.5
14,0,5,2,82.25,2015.8,10175.8,13594.2,13.11,15.36,13602.5
15,0,0,2,82.54,2130.8,10022.5,13619.2,13.07,13.48,13407.5
16,0,4,3,83.97,1999.2,10017.5,13619.2,11.58,13.38,13347.5
17,0,0,1,82.15,2162.5,10155.8,13710.8,13.24,14.03,13542.5
18,1,0,1,82.15,2162.5,10155.8,13710.8,13.24,14.03,13542.5
19,0,5,3,82.54,2039.2,10329.2,13805.8,12.48,14.67,13502.5
20,1,0,2,84.79,1999.2,10317.5,14255.8,10.20,11.50,13477.5
21,1,1,1,82.85,1774.2,10349.2,14309.2,12.22,13.29,13572.5
22,1,0,3,85.58,1870.8,10475.8,14742.5,9.08,10.48,13350.0
23,1,2,1,83.11,1867.5,10459.2,14864.2,11.78,13.37,13505.0
24,1,1,2,84.79,1705.8,10622.5,15102.5,9.70,11.63,13537.5
25,1,3,1,83.77,1925.8,10525.8,15104.2,11.00,12.52,13445.0
26,1,4,1,82.95,1954.2,10662.5,15382.5,11.62,13.63,13575.0
27,1,5,1,83.95,1907.5,10614.2,15419.2,10.61,12.85,13460.0
28,1,1,3,86.55,1560.8,10722.5,15732.5,7.78,10.62,13402.5
29,1,2,2,83.74,1847.5,11075.8,16422.5,10.22,12.61,13612.5
30,1,3,2,84.66,1894.2,11170.8,16847.5,9.18,11.50,13525.0
31,1,4,2,83.51,1965.8,11485.8,17659.2,9.98,13.20,13625.0
32,1,2,3,85.19,1802.5,11515.8,17689.2,8.10,11.72,13530.0
33,1,5,2,84.38,1949.2,11465.8,17855.8,8.97,12.67,13527.5
34,1,3,3,84.86,1875.8,11814.2,18682.5,8.19,12.13,13587.5
35,1,4,3,84.03,1959.2,12124.2,19674.2,8.67,13.01,13577.5
36,1,5,3,84.07,2020.8,12345.8,20122.5,8.19,12.82,13677.5
