QSRC,PSRC,nPedca,delay_type,P50_us,P95_us,P99_us,,,,,P-EDCA sta,,,
3,3,30,pedca,1992.5,8097.5,15932.5,,,,,,,,
4,1,30,pedca,2562.5,10612.5,19747.5,,,,,,,,
4,2,30,pedca,2392.5,9667.5,16962.5,,,,,,,,
4,3,30,pedca,2452.5,10372.5,17452.5,,,,,,,,
5,1,30,pedca,2882.5,12702.5,20882.5,,,,,,,,
5,2,30,pedca,2747.5,12877.5,20717.5,,,,,,,,
5,3,30,pedca,2777.5,13237.5,21867.5,,,,,,,,
0,1,5,vo,2142.5,11142.5,18227.5,,,,,,,,
0,2,5,vo,2442.5,12642.5,19892.5,,,,,,,,
0,3,5,vo,2357.5,12282.5,19672.5,,,,,,,,
1,1,5,vo,2747.5,12117.5,19272.5,,,,,,,,
1,2,5,vo,2732.5,12547.5,20187.5,,,,,,,,
1,3,5,vo,2577.5,11242.5,18647.5,,,,,,,,
2,1,5,vo,2592.5,11822.5,18777.5,,,,,,,,
2,2,5,vo,2482.5,11222.5,18552.5,,,,,,,,
2,3,5,vo,2442.5,10797.5,18067.5,,,,,,,,
3,1,5,vo,2492.5,11827.5,19177.5,,,,,,,,
3,2,5,vo,2477.5,11652.5,18852.5,,,,,,,,
3,3,5,vo,2607.5,11937.5,19042.5,,,,,,,,
4,1,5,vo,2687.5,12687.5,19937.5,,,,,,,,
4,2,5,vo,2517.5,11347.5,18542.5,,,,,,,,
4,3,5,vo,2462.5,11752.5,19042.5,,,,,,,,
5,1,5,vo,2532.5,11572.5,18752.5,,,,,,,,
5,2,5,vo,2612.5,12177.5,19052.5,,,,,,,,
5,3,5,vo,2617.5,12572.5,19882.5,,,,,,,,
0,1,15,vo,2037.5,12347.5,19612.5,,,,,,,,
0,2,15,vo,1997.5,12687.5,20217.5,,,,,,,,
0,3,15,vo,1892.5,11617.5,19752.5,,,,,,,,
1,1,15,vo,2797.5,10462.5,17882.5,,,,,,,,
1,2,15,vo,2607.5,10312.5,18277.5,,,,,,,,
1,3,15,vo,2682.5,10792.5,18432.5,,,,,,,,
2,1,15,vo,2717.5,11532.5,19367.5,,,,,,,,
2,2,15,vo,2457.5,10737.5,19112.5,,,,,,,,
2,3,15,vo,2487.5,10337.5,18227.5,,,,,,,,
3,1,15,vo,2512.5,11522.5,19662.5,,,,,,,,
3,2,15,vo,2347.5,9742.5,17617.5,,,,,,,,
3,3,15,vo,2412.5,10792.5,18552.5,,,,,,,,
4,1,15,vo,2557.5,11272.5,19112.5,,,,,,,,
4,2,15,vo,2562.5,11322.5,18492.5,,,,,,,,
4,3,15,vo,2517.5,11042.5,17927.5,,,,,,,,
5,1,15,vo,2677.5,12237.5,19462.5,,,,,,,,
5,2,15,vo,2787.5,13237.5,20597.5,,,,,,,,
5,3,15,vo,2667.5,12382.5,19332.5,,,,,,,,
0,1,30,vo,1812.5,12612.5,19647.5,,,,,,,,
0,2,30,vo,1352.5,10802.5,18622.5,,,,,,,,
0,3,30,vo,1112.5,10252.5,19147.5,,,,,,,,
1,1,30,vo,2797.5,8932.5,16947.5,,,,,,,,
1,2,30,vo,2332.5,7937.5,15632.5,,,,,,,,
1,3,30,vo,2102.5,7587.5,14202.5,,,,,,,,
2,1,30,vo,2537.5,8447.5,17452.5,,,,,,,,
2,2,30,vo,2102.5,7962.5,14867.5,,,,,,,,
2,3,30,vo,1792.5,7962.5,15842.5,,,,,,,,
3,1,30,vo,2372.5,9407.5,19192.5,,,,,,,,
3,2,30,vo,2117.5,8337.5,16937.5,,,,,,,,
3,3,30,vo,1992.5,8097.5,15932.5,,,,,,,,
4,1,30,vo,2562.5,10612.5,19747.5,,,,,,,,
4,2,30,vo,2392.5,9662.5,16962.5,,,,,,,,
4,3,30,vo,2452.5,10372.5,17437.5,,,,,,,,
5,1,30,vo,2882.5,12702.5,20882.5,,,,,,,,
5,2,30,vo,2747.5,12877.5,20717.5,,,,,,,,
5,3,30,vo,2777.5,13237.5,21867.5,,,,,,,,
