sta_type,nPedca,min_p99_CWds,min_p99_QSRC,min_p99_PSRC,min_P50_us,min_P95_us,min_P99_us,default_P50_us,default_P95_us,default_P99_us,EDCA_only_P50_us,EDCA_only_P95_us,EDCA_only_P99_us,gain_vs_default_P50_%,gain_vs_default_P95_%,gain_vs_default_P99_%,gain_vs_EDCA_P50_%,gain_vs_EDCA_P95_%,gain_vs_EDCA_P99_%
All STAs,5,0,3,1,2007.5,9887.5,13532.5,2052.5,10192.5,13837.5,1912.5,9952.5,13387.5,2.2,3.0,2.2,-5.0,0.7,-1.1
All STAs,15,1,4,1,2242.5,10307.5,13892.5,2212.5,10202.5,14282.5,1912.5,9952.5,13387.5,-1.4,-1.0,2.7,-17.3,-3.6,-3.8
All STAs,30,1,4,1,2357.5,10332.5,13947.5,2322.5,10262.5,14637.5,1912.5,9952.5,13387.5,-1.5,-0.7,4.7,-23.3,-3.8,-4.2
P-EDCA STAs,5,1,2,3,1992.5,6292.5,9077.5,1937.5,7332.5,11952.5,1912.5,9952.5,13387.5,-2.8,14.2,24.1,-4.2,36.8,32.2
P-EDCA STAs,15,1,3,2,2372.5,8852.5,12702.5,2122.5,8787.5,13462.5,1912.5,9952.5,13387.5,-11.8,-0.7,5.6,-24.1,11.1,5.1
P-EDCA STAs,30,1,4,1,2357.5,10332.5,13952.5,2322.5,10267.5,14642.5,1912.5,9952.5,13387.5,-1.5,-0.6,4.7,-23.3,-3.8,-4.2
Legacy STAs,5,0,5,1,1997.5,10317.5,13787.5,2097.5,10642.5,14147.5,1912.5,9952.5,13387.5,4.8,3.1,2.5,-4.4,-3.7,-3.0
Legacy STAs,15,1,5,1,2257.5,10927.5,14592.5,2352.5,11267.5,14962.5,1912.5,9952.5,13387.5,4.0,3.0,2.5,-18.0,-9.8,-9.0
