sta_type,nPedca,min_p99_CWds,min_p99_QSRC,min_p99_PSRC,min_P99_us,default_P99_us,EDCA_only_P99_us,gain_vs_default_%,gain_vs_EDCA_%,min_P50_us,min_P95_us
All STAs,5,0,0,2,22737.5,23197.5,22047.5,2.0,-3.1,1752.5,14557.5
All STAs,15,0,0,3,22457.5,24567.5,22047.5,8.6,-1.9,1527.5,14142.5
All STAs,30,0,0,3,20547.5,25677.5,22047.5,20.0,6.8,1177.5,11547.5
P-EDCA STAs,5,0,0,3,5052.5,18217.5,22047.5,72.3,77.1,1102.5,3632.5
P-EDCA STAs,15,0,0,3,16967.5,23202.5,22047.5,26.9,23.0,1082.5,4317.5
P-EDCA STAs,30,0,0,3,20562.5,25677.5,22047.5,19.9,6.7,1177.5,11552.5
Legacy STAs,5,0,5,2,23282.5,23692.5,22047.5,1.7,-5.6,1902.5,15217.5
Legacy STAs,15,1,0,2,24367.5,25452.5,22047.5,4.3,-10.5,2312.5,16872.5
