sta_id,ds_cts_end_us,gap_us,backoff_slots,outcome
0,3.70603e+06,1899,207,TIMING_EXPIRED
0,3.73192e+06,97,7,SUCCESS
0,3.74123e+06,52,2,SUCCESS
0,3.7489e+06,52,2,SUCCESS
0,3.76795e+06,88,6,SUCCESS
0,3.78774e+06,52,2,SUCCESS
0,3.80878e+06,43,1,SUCCESS
0,3.81695e+06,61,3,RTS_COLLISION
0,3.85315e+06,1351,146,TIMING_EXPIRED
0,3.90317e+06,43,1,RTS_COLLISION
0,3.91279e+06,991,106,TIMING_EXPIRED
0,3.92788e+06,34,0,RTS_COLLISION
0,3.94764e+06,52,2,SUCCESS
0,3.95112e+06,43,1,RTS_COLLISION
0,3.96751e+06,465,48,TIMING_EXPIRED
0,3.99917e+06,34,0,SUCCESS
0,4.05136e+06,79,5,SUCCESS
0,4.06581e+06,474,49,TIMING_EXPIRED
0,4.07896e+06,61,3,SUCCESS
0,4.08861e+06,79,5,SUCCESS
0,4.10475e+06,867,93,TIMING_EXPIRED
0,4.13824e+06,43,1,SUCCESS
0,4.15131e+06,70,4,SUCCESS
0,4.17434e+06,88,6,SUCCESS
0,4.20371e+06,61,3,SUCCESS
0,4.24444e+06,70,4,SUCCESS
0,4.25848e+06,43,1,RTS_COLLISION
0,4.33032e+06,79,5,SUCCESS
0,4.3413e+06,97,7,SUCCESS
0,4.35155e+06,61,3,SUCCESS
0,4.36008e+06,79,5,RTS_COLLISION
0,4.3713e+06,52,2,SUCCESS
0,4.37746e+06,474,49,TIMING_EXPIRED
0,4.4169e+06,97,7,RTS_COLLISION
0,4.42531e+06,79,5,SUCCESS
0,4.43547e+06,52,2,SUCCESS
0,4.44615e+06,34,0,SUCCESS
0,4.4563e+06,97,7,SUCCESS
0,4.46485e+06,88,6,SUCCESS
0,4.47859e+06,52,2,SUCCESS
0,4.50097e+06,967,104,TIMING_EXPIRED
0,4.54003e+06,43,1,RTS_COLLISION
0,4.56884e+06,34,0,RTS_COLLISION
0,4.59173e+06,79,5,RTS_COLLISION
0,4.61194e+06,88,6,SUCCESS
0,4.61709e+06,97,7,SUCCESS
0,4.63842e+06,61,3,SUCCESS
0,4.66318e+06,43,1,RTS_COLLISION
0,4.68112e+06,61,3,SUCCESS
0,4.69102e+06,79,5,SUCCESS
