time_us,node_id,frame_type,size_bytes
1.01446e+06,5,QOSDATA_TID6,1066
1.01465e+06,20,ACK,14
1.01469e+06,5,CTL,20
1.01478e+06,15,RTS,20
1.01478e+06,3,RTS,20
1.01494e+06,15,RTS,20
1.01494e+06,3,RTS,20
1.01508e+06,15,RTS,20
1.01516e+06,20,CTS,14
1.01522e+06,15,QOSDATA_TID6,1066
1.01541e+06,20,ACK,14
1.01545e+06,15,CTL,20
1.01555e+06,6,RTS,20
1.01555e+06,10,RTS,20
1.01555e+06,3,RTS,20
1.01569e+06,1,RTS,20
1.01569e+06,6,RTS,20
1.01581e+06,13,RTS,20
1.01589e+06,20,CTS,14
1.01595e+06,13,QOSDATA_TID6,1066
1.01614e+06,20,ACK,14
1.01618e+06,13,CTL,20
1.01626e+06,1,RTS,20
1.01634e+06,20,CTS,14
1.0164e+06,1,QOSDATA_TID6,1066
1.01659e+06,20,ACK,14
1.01663e+06,1,CTL,20
1.01673e+06,14,RTS,20
1.01673e+06,2,RTS,20
1.01673e+06,12,RTS,20
1.01673e+06,18,RTS,20
1.01681e+06,20,CTS,14
1.01687e+06,14,QOSDATA_TID6,1066
1.01705e+06,20,ACK,14
1.0171e+06,14,CTL,20
1.01719e+06,12,RTS,20
1.01719e+06,10,RTS,20
1.01731e+06,4,RTS,20
1.01739e+06,20,CTS,14
1.01745e+06,4,QOSDATA_TID6,1066
1.01764e+06,20,ACK,14
1.01768e+06,4,CTL,20
1.01778e+06,11,RTS,20
1.01786e+06,20,CTS,14
1.01792e+06,11,QOSDATA_TID6,1066
1.0181e+06,20,ACK,14
1.01814e+06,11,CTL,20
1.01823e+06,7,RTS,20
1.01823e+06,3,RTS,20
1.01831e+06,20,CTS,14
1.01837e+06,7,QOSDATA_TID6,1066
1.01855e+06,20,ACK,14
1.0186e+06,7,QOSDATA_TID6,1066
1.01878e+06,20,ACK,14
1.01883e+06,7,CTL,20
1.01892e+06,19,RTS,20
1.01892e+06,17,RTS,20
1.01892e+06,10,RTS,20
1.01907e+06,2,RTS,20
1.01907e+06,19,RTS,20
1.01915e+06,20,CTS,14
1.01921e+06,2,QOSDATA_TID6,1066
