time_us,node_id,frame_type,size_bytes
1.01502e+06,16,QOSDATA_TID6,1066
1.01521e+06,20,ACK,14
1.01525e+06,16,CTL,20
1.01534e+06,12,RTS,20
1.01542e+06,20,CTS,14
1.01548e+06,12,QOSDATA_TID6,1066
1.01566e+06,20,ACK,14
1.01571e+06,12,QOSDATA_TID6,1066
1.01589e+06,20,ACK,14
1.01593e+06,12,QOSDATA_TID6,1066
1.01612e+06,20,ACK,14
1.01616e+06,12,CTL,20
1.01625e+06,8,RTS,20
1.01625e+06,19,RTS,20
1.01633e+06,20,CTS,14
1.01639e+06,19,QOSDATA_TID6,1066
1.01657e+06,20,ACK,14
1.01662e+06,19,CTL,20
1.0167e+06,10,RTS,20
1.01678e+06,20,CTS,14
1.01684e+06,10,QOSDATA_TID6,1066
1.01703e+06,20,ACK,14
1.01707e+06,10,CTL,20
1.01716e+06,14,RTS,20
1.01716e+06,6,RTS,20
1.01728e+06,17,RTS,20
1.01728e+06,4,RTS,20
1.01736e+06,20,CTS,14
1.01742e+06,17,QOSDATA_TID6,1066
1.0176e+06,20,ACK,14
1.01765e+06,17,CTL,20
1.01774e+06,15,RTS,20
1.01774e+06,3,RTS,20
1.01782e+06,20,CTS,14
1.01788e+06,15,QOSDATA_TID6,1066
1.01806e+06,20,ACK,14
1.01811e+06,15,CTL,20
1.0182e+06,1,RTS,20
1.01828e+06,20,CTS,14
1.01834e+06,1,QOSDATA_TID6,1066
1.01852e+06,20,ACK,14
1.01856e+06,1,CTL,20
1.01865e+06,3,RTS,20
1.01873e+06,20,CTS,14
1.01879e+06,3,QOSDATA_TID6,1066
1.01897e+06,20,ACK,14
1.01902e+06,3,CTL,20
1.0191e+06,6,RTS,20
1.01918e+06,20,CTS,14
1.01924e+06,6,QOSDATA_TID6,1066
1.01943e+06,20,ACK,14
1.01947e+06,6,QOSDATA_TID6,1066
1.01966e+06,20,ACK,14
1.0197e+06,6,CTL,20
1.01978e+06,5,RTS,20
1.01978e+06,9,RTS,20
1.01978e+06,16,RTS,20
1.01993e+06,16,RTS,20
1.02001e+06,20,CTS,14
1.02007e+06,16,QOSDATA_TID6,1066
1.02025e+06,20,ACK,14
1.0203e+06,16,CTL,20
1.02038e+06,9,RTS,20
1.02046e+06,20,CTS,14
1.02052e+06,9,QOSDATA_TID6,1066
1.02071e+06,20,ACK,14
1.02075e+06,9,CTL,20
1.02084e+06,4,RTS,20
1.02084e+06,14,RTS,20
1.02084e+06,17,RTS,20
1.02097e+06,5,RTS,20
1.02097e+06,7,RTS,20
1.02097e+06,8,RTS,20
1.02111e+06,4,RTS,20
1.02119e+06,20,CTS,14
1.02125e+06,4,QOSDATA_TID6,1066
1.02143e+06,20,ACK,14
1.02148e+06,4,CTL,20
1.02156e+06,0,RTS,20
1.02164e+06,20,CTS,14
1.0217e+06,0,QOSDATA_TID6,1066
1.02189e+06,20,ACK,14
1.02193e+06,0,CTL,20
1.02202e+06,5,RTS,20
1.02202e+06,3,RTS,20
1.02202e+06,10,RTS,20
1.02202e+06,17,RTS,20
1.0222e+06,10,RTS,20
1.02228e+06,20,CTS,14
1.02234e+06,10,QOSDATA_TID6,1066
1.02252e+06,20,ACK,14
1.02256e+06,10,CTL,20
1.02265e+06,3,RTS,20
1.02265e+06,4,RTS,20
1.02265e+06,5,RTS,20
1.02273e+06,20,CTS,14
1.02279e+06,5,QOSDATA_TID6,1066
1.02297e+06,20,ACK,14
1.02302e+06,5,QOSDATA_TID6,1066
1.0232e+06,20,ACK,14
1.02324e+06,5,CTL,20
1.02333e+06,15,RTS,20
1.02341e+06,20,CTS,14
1.02347e+06,15,QOSDATA_TID6,1066
1.02366e+06,20,ACK,14
1.0237e+06,15,CTL,20
1.02378e+06,18,RTS,20
1.02378e+06,13,RTS,20
1.02378e+06,4,RTS,20
1.02378e+06,9,RTS,20
1.02378e+06,12,RTS,20
1.02391e+06,3,RTS,20
1.02399e+06,20,CTS,14
1.02405e+06,3,QOSDATA_TID6,1066
1.02423e+06,20,ACK,14
1.02428e+06,3,CTL,20
1.02436e+06,17,RTS,20
1.02444e+06,20,CTS,14
1.0245e+06,17,QOSDATA_TID6,1066
1.02468e+06,20,ACK,14
1.02473e+06,17,CTL,20
1.02482e+06,14,RTS,20
1.02482e+06,7,RTS,20
1.02495e+06,8,RTS,20
1.02503e+06,20,CTS,14
1.02509e+06,8,QOSDATA_TID6,1066
1.02527e+06,20,ACK,14
1.02531e+06,8,QOSDATA_TID6,1066
1.0255e+06,20,ACK,14
1.02554e+06,8,CTL,20
1.02564e+06,19,RTS,20
1.02564e+06,7,RTS,20
1.02572e+06,20,CTS,14
1.02578e+06,19,QOSDATA_TID6,1066
1.02596e+06,20,ACK,14
1.026e+06,19,CTL,20
1.02609e+06,7,RTS,20
1.02609e+06,1,RTS,20
1.02622e+06,16,RTS,20
1.0263e+06,20,CTS,14
1.02636e+06,16,QOSDATA_TID6,1066
1.02655e+06,20,ACK,14
1.02659e+06,16,CTL,20
1.02669e+06,1,RTS,20
1.02669e+06,9,RTS,20
1.02669e+06,12,RTS,20
1.02682e+06,14,RTS,20
1.0269e+06,20,CTS,14
1.02696e+06,14,QOSDATA_TID6,1066
1.02714e+06,20,ACK,14
1.02718e+06,14,QOSDATA_TID6,1066
1.02737e+06,20,ACK,14
1.02741e+06,14,CTL,20
1.0275e+06,17,RTS,20
1.02758e+06,20,CTS,14
1.02764e+06,17,QOSDATA_TID6,1066
1.02782e+06,20,ACK,14
1.02787e+06,17,CTL,20
1.02795e+06,6,RTS,20
1.02795e+06,5,RTS,20
1.02808e+06,2,RTS,20
1.02816e+06,20,CTS,14
1.02822e+06,2,QOSDATA_TID0,66
1.02829e+06,20,ACK,14
1.02835e+06,5,RTS,20
1.02843e+06,20,CTS,14
1.02849e+06,5,QOSDATA_TID6,1066
1.02867e+06,20,ACK,14
1.02872e+06,5,CTL,20
1.0288e+06,12,RTS,20
1.02888e+06,20,CTS,14
1.02894e+06,12,QOSDATA_TID6,1066
1.02913e+06,20,ACK,14
1.02917e+06,12,CTL,20
1.02926e+06,0,RTS,20
1.02926e+06,18,RTS,20
1.02926e+06,1,RTS,20
1.02934e+06,20,CTS,14
1.0294e+06,18,QOSDATA_TID6,1066
1.02958e+06,20,ACK,14
1.02963e+06,18,QOSDATA_TID6,1066
1.02981e+06,20,ACK,14
1.02985e+06,18,CTL,20
1.02994e+06,8,RTS,20
1.02994e+06,10,RTS,20
1.03007e+06,20,QOSDATA_TID0,66
1.03023e+06,0,RTS,20
1.03023e+06,4,RTS,20
1.03036e+06,10,RTS,20
1.03044e+06,20,CTS,14
1.0305e+06,10,QOSDATA_TID6,1066
1.03068e+06,20,ACK,14
1.03072e+06,10,CTL,20
1.03082e+06,7,RTS,20
1.03082e+06,13,RTS,20
1.03082e+06,1,RTS,20
1.03082e+06,8,RTS,20
1.0309e+06,20,CTS,14
1.03096e+06,13,QOSDATA_TID6,1066
1.03114e+06,20,ACK,14
1.03119e+06,13,QOSDATA_TID6,1066
1.03137e+06,20,ACK,14
1.03142e+06,13,CTL,20
1.0315e+06,15,RTS,20
