sta_id,ds_cts_end_us,gap_us,backoff_slots,outcome
0,4.71135e+06,51,2,SUCCESS
0,4.74117e+06,61,3,SUCCESS
0,4.75266e+06,96,7,SUCCESS
0,4.78316e+06,78,5,SUCCESS
0,4.80578e+06,51,2,SUCCESS
0,4.81758e+06,87,6,SUCCESS
0,4.82928e+06,51,2,SUCCESS
0,4.83844e+06,60,3,SUCCESS
0,4.85219e+06,105,8,SUCCESS
0,4.86901e+06,78,5,SUCCESS
0,4.8869e+06,69,4,SUCCESS
0,4.90151e+06,51,2,SUCCESS
0,4.90862e+06,78,5,SUCCESS
0,4.9312e+06,42,1,SUCCESS
0,4.94001e+06,51,2,SUCCESS
0,4.97931e+06,87,6,SUCCESS
0,4.99759e+06,79,5,SUCCESS
0,5.00567e+06,42,1,SUCCESS
0,5.01801e+06,60,3,SUCCESS
0,5.0281e+06,60,3,SUCCESS
0,5.04226e+06,69,4,SUCCESS
0,5.05008e+06,34,0,SUCCESS
0,5.08109e+06,87,6,RTS_COLLISION
0,5.14258e+06,78,5,SUCCESS
0,5.15053e+06,34,0,SUCCESS
0,5.15914e+06,1826,199,TIMING_EXPIRED
0,5.19756e+06,43,1,SUCCESS
0,5.20493e+06,78,5,SUCCESS
0,5.22459e+06,1427,155,TIMING_EXPIRED
0,5.27503e+06,69,4,SUCCESS
0,5.29641e+06,87,6,RTS_COLLISION
0,5.35523e+06,523,54,TIMING_EXPIRED
0,5.38232e+06,96,7,SUCCESS
0,5.39314e+06,42,1,SUCCESS
0,5.4266e+06,97,7,SUCCESS
0,5.44531e+06,4110,453,TIMING_EXPIRED
0,5.46986e+06,51,2,SUCCESS
0,5.49933e+06,69,4,SUCCESS
0,5.57004e+06,78,5,SUCCESS
0,5.59442e+06,78,5,SUCCESS
0,5.60937e+06,79,5,SUCCESS
0,5.62267e+06,34,0,SUCCESS
0,5.64971e+06,87,6,SUCCESS
0,5.67842e+06,88,6,SUCCESS
0,5.6964e+06,78,5,SUCCESS
0,5.72697e+06,60,3,SUCCESS
0,5.7447e+06,2185,239,TIMING_EXPIRED
0,5.79486e+06,61,3,SUCCESS
0,5.81792e+06,34,0,SUCCESS
0,5.8752e+06,70,4,SUCCESS
0,5.89966e+06,87,6,SUCCESS
0,5.93969e+06,105,8,RTS_COLLISION
0,5.98531e+06,61,3,SUCCESS
0,5.99874e+06,96,7,SUCCESS
0,6.01408e+06,60,3,SUCCESS
0,6.0225e+06,61,3,SUCCESS
0,6.02912e+06,105,8,SUCCESS
0,6.06833e+06,42,1,SUCCESS
0,6.09816e+06,96,7,SUCCESS
0,6.12283e+06,78,5,SUCCESS
0,6.1674e+06,97,7,SUCCESS
0,6.17363e+06,43,1,SUCCESS
0,6.19047e+06,42,1,SUCCESS
0,6.20071e+06,69,4,SUCCESS
0,6.20446e+06,42,1,SUCCESS
0,6.2245e+06,43,1,SUCCESS
0,6.23782e+06,69,4,SUCCESS
0,6.24998e+06,51,2,SUCCESS
0,6.28845e+06,42,1,SUCCESS
0,6.30185e+06,105,8,SUCCESS
0,6.32e+06,51,2,SUCCESS
0,6.35292e+06,42,1,SUCCESS
0,6.35696e+06,51,2,SUCCESS
0,6.38346e+06,60,3,SUCCESS
0,6.40771e+06,78,5,SUCCESS
0,6.43242e+06,51,2,SUCCESS
0,6.44136e+06,971,104,TIMING_EXPIRED
0,6.48326e+06,69,4,SUCCESS
0,6.50438e+06,70,4,SUCCESS
0,6.57069e+06,538,56,TIMING_EXPIRED
0,6.60735e+06,60,3,SUCCESS
0,6.62732e+06,51,2,SUCCESS
0,6.6592e+06,78,5,SUCCESS
0,6.7002e+06,60,3,SUCCESS
0,6.71232e+06,96,7,SUCCESS
0,6.73337e+06,42,1,SUCCESS
0,6.74522e+06,69,4,SUCCESS
0,6.7665e+06,105,8,SUCCESS
0,6.79621e+06,69,4,SUCCESS
0,6.81319e+06,70,4,SUCCESS
0,6.82337e+06,69,4,SUCCESS
0,6.84521e+06,97,7,SUCCESS
0,6.85439e+06,51,2,SUCCESS
0,6.86513e+06,60,3,SUCCESS
0,6.9094e+06,69,4,SUCCESS
0,6.9178e+06,34,0,SUCCESS
0,6.93067e+06,96,7,RTS_COLLISION
0,6.97586e+06,69,4,SUCCESS
0,6.98196e+06,78,5,SUCCESS
0,6.99241e+06,1867,204,TIMING_EXPIRED
0,7.03412e+06,69,4,SUCCESS
0,7.06112e+06,42,1,SUCCESS
0,7.06818e+06,52,2,SUCCESS
0,7.10822e+06,970,104,TIMING_EXPIRED
0,7.1354e+06,60,3,SUCCESS
0,7.15132e+06,1985,217,TIMING_EXPIRED
0,7.20055e+06,96,7,SUCCESS
0,7.20636e+06,78,5,SUCCESS
0,7.23602e+06,52,2,SUCCESS
0,7.25011e+06,2627,288,TIMING_EXPIRED
0,7.31536e+06,96,7,SUCCESS
0,7.33434e+06,69,4,SUCCESS
0,7.34117e+06,42,1,SUCCESS
0,7.36387e+06,51,2,SUCCESS
0,7.37128e+06,79,5,SUCCESS
0,7.39676e+06,105,8,SUCCESS
