sta_type,nPedca,min_p99_CWds,min_p99_QSRC,min_p99_PSRC,min_P99_us,default_P99_us,EDCA_only_P99_us,gain_vs_default_%,gain_vs_EDCA_%,min_P50_us,min_P95_us
All STAs,5,0,0,3,22677.5,23307.5,22132.5,2.7,-2.5,1927.5,15447.5
All STAs,15,1,0,2,22122.5,25092.5,22132.5,11.8,0.0,1462.5,14422.5
All STAs,30,1,0,2,21422.5,27657.5,22132.5,22.5,3.2,1002.5,12852.5
P-EDCA STAs,5,0,0,3,5717.5,19907.5,22132.5,71.3,74.2,802.5,3487.5
P-EDCA STAs,15,0,0,3,16842.5,24752.5,22132.5,32.0,23.9,792.5,4757.5
P-EDCA STAs,30,1,0,2,21427.5,27657.5,22132.5,22.5,3.2,1002.5,12852.5
Legacy STAs,5,0,4,3,23127.5,23687.5,22132.5,2.4,-4.5,2327.5,15927.5
Legacy STAs,15,1,0,2,23727.5,25357.5,22132.5,6.4,-7.2,2767.5,16802.5
