CWds,QSRC,PSRC,nPedca,delay_type,P50_us,P95_us,P99_us
0,0,3,5,legacy,2482.50,16327.50,23277.50
0,1,1,5,legacy,2462.50,16502.50,23672.50
0,1,2,5,legacy,2587.50,16822.50,23887.50
0,1,3,5,legacy,2527.50,16657.50,23872.50
0,2,1,5,legacy,2467.50,16522.50,23687.50
0,2,2,5,legacy,2532.50,16762.50,23957.50
0,2,3,5,legacy,2467.50,16527.50,23742.50
0,3,1,5,legacy,2377.50,16287.50,23502.50
0,3,2,5,legacy,2502.50,16802.50,24167.50
0,3,3,5,legacy,2522.50,16752.50,24082.50
0,4,1,5,legacy,2322.50,16132.50,23242.50
0,4,2,5,legacy,2327.50,16047.50,23182.50
0,4,3,5,legacy,2327.50,15927.50,23127.50
0,5,1,5,legacy,2392.50,16392.50,23527.50
0,5,2,5,legacy,2367.50,16227.50,23467.50
0,5,3,5,legacy,2387.50,16332.50,23567.50
1,0,1,5,legacy,2487.50,16262.50,23332.50
1,0,2,5,legacy,2662.50,16912.50,24097.50
1,0,3,5,legacy,2587.50,16622.50,23567.50
1,1,1,5,legacy,2472.50,16402.50,23497.50
1,1,2,5,legacy,2647.50,17117.50,24437.50
1,1,3,5,legacy,2587.50,16727.50,23927.50
1,2,1,5,legacy,2457.50,16497.50,23712.50
1,2,2,5,legacy,2492.50,16577.50,23782.50
1,2,3,5,legacy,2532.50,16857.50,24012.50
1,3,1,5,legacy,2347.50,16017.50,23137.50
1,3,2,5,legacy,2402.50,16207.50,23387.50
1,3,3,5,legacy,2422.50,16307.50,23537.50
1,4,1,5,legacy,2392.50,16392.50,23442.50
1,4,2,5,legacy,2347.50,16237.50,23482.50
1,4,3,5,legacy,2342.50,16067.50,23227.50
1,5,1,5,legacy,2377.50,16327.50,23457.50
1,5,2,5,legacy,2372.50,16347.50,23547.50
1,5,3,5,legacy,2402.50,16372.50,23622.50
0,0,1,15,legacy,2882.50,17102.50,24022.50
0,0,2,15,legacy,2887.50,17362.50,24457.50
0,0,3,15,legacy,3142.50,18037.50,25077.50
0,1,1,15,legacy,2797.50,17507.50,24722.50
0,1,2,15,legacy,2837.50,17977.50,25392.50
0,1,3,15,legacy,3052.50,18992.50,26497.50
0,2,1,15,legacy,2777.50,17642.50,25357.50
0,2,2,15,legacy,2907.50,18062.50,25617.50
0,2,3,15,legacy,2892.50,18022.50,25507.50
0,3,1,15,legacy,2707.50,17467.50,24792.50
0,3,2,15,legacy,2772.50,17672.50,25222.50
0,3,3,15,legacy,2882.50,18277.50,26277.50
0,4,1,15,legacy,2397.50,16482.50,23952.50
0,4,2,15,legacy,2697.50,17682.50,25342.50
0,4,3,15,legacy,2687.50,17842.50,25902.50
0,5,1,15,legacy,2587.50,17337.50,25237.50
0,5,2,15,legacy,2707.50,18037.50,25747.50
0,5,3,15,legacy,2592.50,17457.50,25162.50
1,0,1,15,legacy,2882.50,17102.50,24022.50
1,0,2,15,legacy,2767.50,16802.50,23727.50
1,0,3,15,legacy,3127.50,18287.50,25232.50
1,1,1,15,legacy,2772.50,17522.50,24677.50
