rank,CWds,QSRC,PSRC,pedca_ontime_10ms_pct,pedca_P50_us,pedca_P95_us,pedca_P99_us,pedca_loss_pct,legacy_loss_pct,legacy_P99_us
1,0,5,3,96.98,2307.5,7744.2,8987.5,2.43,13.87,12175.0
2,1,5,3,96.81,2365.8,7760.8,9212.5,2.58,13.91,12285.0
3,1,5,2,95.92,2289.2,7759.2,9215.8,3.39,12.86,12087.5
4,1,4,3,95.68,2500.8,7895.8,9444.2,3.62,14.14,12447.5
5,0,5,2,95.32,2275.8,7799.2,9489.2,3.90,14.35,12307.5
6,0,4,3,95.13,2600.8,7912.5,9537.5,4.12,14.48,12432.5
7,1,4,2,94.47,2579.2,7900.8,9687.5,4.67,13.53,12255.0
8,0,4,2,94.31,2602.5,7919.2,9712.5,4.82,14.04,12122.5
9,1,3,3,93.57,3875.8,7874.2,9780.8,5.58,17.55,13015.0
10,0,3,3,93.53,3817.5,7855.8,9952.5,5.57,14.74,12712.5
11,1,1,3,92.39,2262.5,6110.8,10035.8,6.46,15.93,13282.5
12,1,3,2,93.09,3749.2,7839.2,10192.5,5.88,14.87,12477.5
13,0,2,3,92.98,3610.8,7242.5,10207.5,5.93,16.12,12887.5
14,0,3,2,92.82,3760.8,7844.2,10220.8,6.14,15.54,12642.5
15,1,2,3,92.60,3737.5,7314.2,10232.5,6.35,17.84,13185.0
16,1,5,1,91.96,2310.8,7889.2,10345.8,6.90,12.72,11862.5
17,0,5,1,92.84,2282.5,7872.5,10390.8,6.03,11.42,11595.0
18,0,4,1,92.17,2642.5,7942.5,10455.8,6.69,13.62,11802.5
19,0,0,3,93.52,1697.5,5627.5,10507.5,5.17,14.66,13695.0
20,1,0,3,93.73,1820.8,5810.8,10590.8,4.94,15.48,14020.0
21,1,2,2,91.47,3569.2,7314.2,10619.2,7.24,15.95,12880.0
22,0,3,1,91.32,3389.2,7817.5,10637.5,7.43,13.13,11855.0
23,1,1,2,91.50,2099.2,6414.2,10647.5,7.16,13.40,12677.5
24,1,4,1,91.09,2732.5,7980.8,10657.5,7.63,15.13,12155.0
25,0,1,3,91.18,2167.5,6352.5,10667.5,7.46,16.78,13262.5
26,0,2,2,91.17,3482.5,7319.2,10677.5,7.50,15.49,12682.5
27,0,0,2,93.30,1634.2,6247.5,10809.2,5.28,12.80,13295.0
28,1,0,2,93.10,1690.8,6285.8,10884.2,5.44,11.99,13110.0
29,0,1,2,90.88,2049.2,6535.8,10910.8,7.67,16.00,13015.0
30,1,3,1,89.62,3592.5,7885.8,11022.5,8.97,15.18,12052.5
31,1,1,1,91.02,1915.8,7205.8,11032.5,7.50,12.62,12245.0
32,1,2,1,89.08,3162.5,7449.2,11135.8,9.47,14.28,12290.0
33,0,1,1,90.13,1912.5,7204.2,11137.5,8.30,13.76,12547.5
34,0,2,1,89.09,3147.5,7402.5,11170.8,9.39,15.26,12285.0
35,0,0,1,91.51,1587.5,7337.5,11594.2,6.75,11.61,12845.0
36,1,0,1,91.51,1587.5,7337.5,11594.2,6.75,11.61,12845.0
