sta_type,nPedca,min_p99_CWds,min_p99_QSRC,min_p99_PSRC,min_P99_us,default_P99_us,EDCA_only_P99_us,gain_vs_default_%,gain_vs_EDCA_%,min_P50_us,min_P95_us
All STAs,5,1,0,2,21147.5,21707.5,21362.5,2.6,1.0,1927.5,14357.5
All STAs,15,0,0,2,21812.5,22792.5,21362.5,4.3,-2.1,1562.5,14352.5
All STAs,30,1,0,2,20657.5,27317.5,21362.5,24.4,3.3,1027.5,12572.5
P-EDCA STAs,5,0,0,3,5592.5,18812.5,21362.5,70.3,73.8,842.5,3462.5
P-EDCA STAs,15,1,0,3,14782.5,23262.5,21362.5,36.5,30.8,817.5,4297.5
P-EDCA STAs,30,1,0,2,20667.5,27317.5,21362.5,24.3,3.3,1027.5,12572.5
Legacy STAs,5,0,3,1,21662.5,22077.5,21362.5,1.9,-1.4,2327.5,14987.5
Legacy STAs,15,0,2,1,22567.5,22567.5,21362.5,0.0,-5.6,2582.5,15847.5
