nSta,DataRate,AC,MAC_Throughput_Mbps,Loss_Pct,Retransmissions,MAC_Access_Delay_us,Queue_Delay_us,Access_Delay_us
2,0.1Mbps,BE,0.19980,0.00000,0.00000,216.26100,4.26122,212.00000
2,0.1Mbps,BK,0.20020,0.00000,0.00000,224.52189,12.52169,212.00000
2,0.1Mbps,VI,0.19990,0.00000,0.00000,216.93156,4.93155,212.00000
2,0.1Mbps,VO,0.20020,0.00000,0.00000,215.96100,3.96108,212.00000
4,0.1Mbps,BE,0.40000,0.00000,0.00000,227.06733,15.06735,212.00000
4,0.1Mbps,BK,0.40000,0.00000,0.00000,216.41178,4.41173,212.00000
4,0.1Mbps,VI,0.39990,0.00000,0.00000,221.04378,9.04388,212.00000
4,0.1Mbps,VO,0.39980,0.00000,0.00000,228.09767,16.09769,212.00000
6,0.1Mbps,BE,0.60030,0.00000,0.00000,235.20644,23.20650,212.00000
6,0.1Mbps,BK,0.59931,0.00000,0.00412,247.23511,32.03708,215.19789
6,0.1Mbps,VI,0.59980,0.00000,0.00973,239.48500,23.54610,215.93889
6,0.1Mbps,VO,0.60000,0.00000,0.00000,222.75389,10.75377,212.00000
8,0.1Mbps,BE,0.80020,0.00000,0.00074,243.92111,31.43610,212.48500
8,0.1Mbps,BK,0.79941,0.00000,0.00037,248.23822,35.87230,212.36600
8,0.1Mbps,VI,0.79970,0.00000,0.00037,227.97789,15.85049,212.12733
8,0.1Mbps,VO,0.79911,0.00000,0.00037,236.93522,24.83117,212.10400
10,0.1Mbps,BE,0.99970,0.00000,0.00366,237.38267,23.22496,214.15767
10,0.1Mbps,BK,0.99941,0.00000,0.00297,253.58633,39.63382,213.95256
10,0.1Mbps,VI,1.00010,0.00000,0.00000,226.63567,14.63559,212.00000
10,0.1Mbps,VO,1.00030,0.00000,0.00296,231.76767,18.86337,212.90444
12,0.1Mbps,BE,1.19990,0.00000,0.00272,273.55356,59.70317,213.85022
12,0.1Mbps,BK,1.19960,0.00000,0.02426,314.12489,80.37126,233.75356
12,0.1Mbps,VI,1.19980,0.00000,0.00354,243.80644,30.00367,213.80278
12,0.1Mbps,VO,1.19980,0.00000,0.00215,235.81433,23.06579,212.74856
14,0.1Mbps,BE,1.39960,0.00000,0.01912,274.57500,50.79971,223.77544
14,0.1Mbps,BK,1.39970,0.00000,0.00162,266.54544,53.43436,213.11111
14,0.1Mbps,VI,1.39980,0.00000,0.00550,244.89289,30.44396,214.44900
14,0.1Mbps,VO,1.39970,0.00000,0.00897,244.43800,29.79509,214.64289
16,0.1Mbps,BE,1.59872,0.00000,0.01131,260.53778,41.31207,219.22578
16,0.1Mbps,BK,1.60010,0.00000,0.02221,314.69456,81.68362,233.01100
16,0.1Mbps,VI,1.59941,0.00000,0.00969,255.02111,39.58874,215.43244
