time_us,node_id,frame_type,size_bytes
1.01317e+06,13,QOSDATA_TID6,1066
1.01336e+06,20,ACK,14
1.0134e+06,13,CTL,20
1.0135e+06,19,RTS,20
1.01356e+06,20,CTS,14
1.01362e+06,19,QOSDATA_TID6,1066
1.01381e+06,20,ACK,14
1.01385e+06,19,QOSDATA_TID6,1066
1.01404e+06,20,ACK,14
1.01408e+06,19,CTL,20
1.01416e+06,11,RTS,20
1.01416e+06,12,RTS,20
1.01416e+06,8,RTS,20
1.01426e+06,6,RTS,20
1.01433e+06,20,CTS,14
1.01439e+06,6,QOSDATA_TID6,1066
1.01458e+06,20,ACK,14
1.01462e+06,6,CTL,20
1.0147e+06,16,RTS,20
1.01477e+06,20,CTS,14
1.01483e+06,16,QOSDATA_TID6,1066
1.01502e+06,20,ACK,14
1.01506e+06,16,CTL,20
1.01515e+06,9,RTS,20
1.01515e+06,7,RTS,20
1.01515e+06,0,RTS,20
1.01515e+06,17,RTS,20
1.01515e+06,5,RTS,20
1.01515e+06,8,RTS,20
1.01522e+06,20,CTS,14
1.01528e+06,9,QOSDATA_TID6,1066
1.01546e+06,20,ACK,14
1.0155e+06,9,CTL,20
1.01559e+06,4,RTS,20
1.01559e+06,0,RTS,20
1.01566e+06,20,CTS,14
1.01572e+06,4,QOSDATA_TID6,1066
1.0159e+06,20,ACK,14
1.01594e+06,4,CTL,20
1.01603e+06,13,RTS,20
1.0161e+06,20,CTS,14
1.01616e+06,13,QOSDATA_TID6,1066
1.01634e+06,20,ACK,14
1.01639e+06,13,CTL,20
1.01647e+06,1,RTS,20
1.01647e+06,14,RTS,20
1.01654e+06,20,CTS,14
1.0166e+06,1,QOSDATA_TID6,1066
1.01678e+06,20,ACK,14
1.01683e+06,1,CTL,20
1.01692e+06,2,RTS,20
1.01699e+06,20,CTS,14
1.01705e+06,2,QOSDATA_TID0,66
1.01712e+06,20,ACK,14
1.01718e+06,3,RTS,20
1.01718e+06,17,RTS,20
1.01718e+06,7,RTS,20
1.01728e+06,20,QOSDATA_TID0,66
1.01745e+06,7,RTS,20
1.01752e+06,20,CTS,14
1.01758e+06,7,QOSDATA_TID6,1066
1.01776e+06,20,ACK,14
1.0178e+06,7,QOSDATA_TID6,1066
1.01799e+06,20,ACK,14
1.01803e+06,7,CTL,20
1.01812e+06,3,RTS,20
1.01819e+06,20,CTS,14
1.01825e+06,3,QOSDATA_TID6,1066
1.01843e+06,20,ACK,14
1.01848e+06,3,CTL,20
1.01856e+06,8,RTS,20
1.01856e+06,12,RTS,20
1.01867e+06,5,RTS,20
