time_us,node_id,frame_type,size_bytes
1.01393e+06,15,QOSDATA_TID6,1066
1.01412e+06,20,ACK,14
1.01416e+06,15,CTL,20
1.01425e+06,6,RTS,20
1.01433e+06,20,CTS,14
1.01439e+06,6,QOSDATA_TID6,1066
1.01457e+06,20,ACK,14
1.01462e+06,6,CTL,20
1.0147e+06,13,RTS,20
1.0147e+06,2,RTS,20
1.0147e+06,12,RTS,20
1.01482e+06,17,RTS,20
1.01482e+06,3,RTS,20
1.01499e+06,2,RTS,20
1.01507e+06,20,CTS,14
1.01513e+06,2,QOSDATA_TID6,1066
1.01532e+06,20,ACK,14
1.01536e+06,2,CTL,20
1.01544e+06,13,RTS,20
1.01544e+06,10,RTS,20
1.01557e+06,9,RTS,20
1.01565e+06,20,CTS,14
1.01571e+06,9,QOSDATA_TID6,1066
1.01589e+06,20,ACK,14
1.01594e+06,9,CTL,20
1.01602e+06,16,RTS,20
1.01602e+06,6,RTS,20
1.01602e+06,4,RTS,20
1.0161e+06,20,CTS,14
1.01616e+06,16,QOSDATA_TID6,1066
1.01634e+06,20,ACK,14
1.01639e+06,16,CTL,20
1.01648e+06,4,RTS,20
1.01656e+06,20,CTS,14
1.01662e+06,4,QOSDATA_TID6,1066
1.0168e+06,20,ACK,14
1.01684e+06,4,QOSDATA_TID6,1066
1.01703e+06,20,ACK,14
1.01707e+06,4,QOSDATA_TID6,1066
1.01726e+06,20,ACK,14
1.0173e+06,4,CTL,20
1.01739e+06,1,RTS,20
1.01739e+06,11,RTS,20
1.01739e+06,7,RTS,20
1.01739e+06,17,RTS,20
1.01752e+06,6,RTS,20
1.0176e+06,20,CTS,14
1.01766e+06,6,QOSDATA_TID6,1066
1.01784e+06,20,ACK,14
1.01788e+06,6,CTL,20
1.01798e+06,13,RTS,20
1.01798e+06,3,RTS,20
1.01798e+06,19,RTS,20
1.01813e+06,3,RTS,20
1.01821e+06,20,CTS,14
1.01827e+06,3,QOSDATA_TID6,1066
1.01846e+06,20,ACK,14
1.0185e+06,3,CTL,20
1.01859e+06,12,RTS,20
1.01859e+06,19,RTS,20
1.01873e+06,10,RTS,20
1.01881e+06,20,CTS,14
1.01887e+06,10,QOSDATA_TID6,1066
1.01905e+06,20,ACK,14
1.01909e+06,10,CTL,20
1.01918e+06,1,RTS,20
1.01918e+06,5,RTS,20
1.01918e+06,12,RTS,20
1.01926e+06,20,CTS,14
1.01932e+06,5,QOSDATA_TID6,1066
1.0195e+06,20,ACK,14
1.01955e+06,5,CTL,20
1.01963e+06,13,RTS,20
1.01963e+06,15,RTS,20
1.01976e+06,19,RTS,20
1.01984e+06,20,CTS,14
1.0199e+06,19,QOSDATA_TID6,1066
1.02008e+06,20,ACK,14
1.02012e+06,19,CTL,20
1.02021e+06,0,RTS,20
1.02029e+06,20,CTS,14
1.02035e+06,0,QOSDATA_TID6,1066
1.02053e+06,20,ACK,14
1.02058e+06,0,CTL,20
1.02066e+06,18,RTS,20
1.02066e+06,13,RTS,20
1.02066e+06,11,RTS,20
1.02079e+06,15,RTS,20
1.02087e+06,20,CTS,14
1.02093e+06,15,QOSDATA_TID6,1066
1.02111e+06,20,ACK,14
1.02115e+06,15,CTL,20
1.02124e+06,7,RTS,20
1.02124e+06,3,RTS,20
1.02137e+06,2,RTS,20
1.02137e+06,17,RTS,20
1.02149e+06,7,RTS,20
1.02157e+06,20,CTS,14
1.02163e+06,7,QOSDATA_TID6,1066
1.02182e+06,20,ACK,14
1.02186e+06,7,CTL,20
1.02196e+06,8,RTS,20
1.02196e+06,1,RTS,20
1.02204e+06,20,CTS,14
1.0221e+06,8,QOSDATA_TID6,1066
1.02228e+06,20,ACK,14
1.02232e+06,8,CTL,20
1.02241e+06,12,RTS,20
1.02241e+06,9,RTS,20
1.02254e+06,11,RTS,20
1.02262e+06,20,CTS,14
1.02268e+06,11,QOSDATA_TID6,1066
1.02286e+06,20,ACK,14
1.02291e+06,11,QOSDATA_TID6,1066
1.02309e+06,20,ACK,14
1.02314e+06,11,CTL,20
1.02322e+06,10,RTS,20
1.02322e+06,3,RTS,20
1.02335e+06,1,RTS,20
1.02343e+06,20,CTS,14
1.02349e+06,1,QOSDATA_TID6,1066
1.02368e+06,20,ACK,14
1.02372e+06,1,QOSDATA_TID6,1066
1.02391e+06,20,ACK,14
1.02395e+06,1,QOSDATA_TID6,1066
1.02413e+06,20,ACK,14
1.02418e+06,1,CTL,20
1.02426e+06,3,RTS,20
1.02426e+06,19,RTS,20
1.02426e+06,18,RTS,20
1.02426e+06,9,RTS,20
1.0244e+06,12,RTS,20
1.02448e+06,20,CTS,14
1.02454e+06,12,QOSDATA_TID6,1066
1.02472e+06,20,ACK,14
1.02476e+06,12,QOSDATA_TID6,1066
1.02495e+06,20,ACK,14
1.02499e+06,12,CTL,20
1.02508e+06,17,RTS,20
1.02508e+06,16,RTS,20
1.02508e+06,4,RTS,20
1.02516e+06,20,CTS,14
1.02522e+06,16,QOSDATA_TID6,1066
1.0254e+06,20,ACK,14
1.02544e+06,16,CTL,20
1.02554e+06,2,RTS,20
1.02562e+06,20,CTS,14
1.02568e+06,2,QOSDATA_TID6,1066
1.02586e+06,20,ACK,14
1.02591e+06,2,CTL,20
1.02599e+06,19,RTS,20
1.02599e+06,7,RTS,20
1.02607e+06,20,CTS,14
1.02613e+06,7,QOSDATA_TID6,1066
1.02632e+06,20,ACK,14
1.02636e+06,7,CTL,20
1.02645e+06,19,RTS,20
1.02653e+06,20,CTS,14
1.02659e+06,19,QOSDATA_TID6,1066
1.02677e+06,20,ACK,14
1.02682e+06,19,CTL,20
1.0269e+06,6,RTS,20
1.0269e+06,13,RTS,20
1.0269e+06,1,RTS,20
1.02702e+06,9,RTS,20
1.0271e+06,20,CTS,14
1.02716e+06,9,QOSDATA_TID6,1066
1.02735e+06,20,ACK,14
1.02739e+06,9,CTL,20
1.02748e+06,17,RTS,20
1.02748e+06,18,RTS,20
1.02748e+06,15,RTS,20
1.02761e+06,13,RTS,20
1.02769e+06,20,CTS,14
1.02775e+06,13,QOSDATA_TID6,1066
1.02793e+06,20,ACK,14
1.02798e+06,13,QOSDATA_TID6,1066
1.02816e+06,20,ACK,14
1.02821e+06,13,QOSDATA_TID6,1066
1.02839e+06,20,ACK,14
1.02843e+06,13,CTL,20
1.02852e+06,6,RTS,20
1.02852e+06,4,RTS,20
1.02852e+06,0,RTS,20
1.02864e+06,8,RTS,20
1.02864e+06,3,RTS,20
1.02872e+06,20,CTS,14
1.02878e+06,8,QOSDATA_TID6,1066
1.02897e+06,20,ACK,14
1.02901e+06,8,CTL,20
1.0291e+06,1,RTS,20
1.0291e+06,18,RTS,20
1.02923e+06,5,RTS,20
1.02923e+06,12,RTS,20
1.02931e+06,20,CTS,14
1.02937e+06,5,QOSDATA_TID6,1066
1.02955e+06,20,ACK,14
1.0296e+06,5,CTL,20
1.02968e+06,0,RTS,20
1.02976e+06,20,CTS,14
1.02982e+06,0,QOSDATA_TID6,1066
1.03e+06,20,ACK,14
1.03005e+06,0,CTL,20
1.03014e+06,17,RTS,20
1.03014e+06,2,RTS,20
1.03014e+06,11,RTS,20
1.03028e+06,15,RTS,20
1.03036e+06,20,CTS,14
1.03042e+06,15,QOSDATA_TID6,1066
1.0306e+06,20,ACK,14
1.03064e+06,15,CTL,20
1.03073e+06,3,RTS,20
1.03073e+06,17,RTS,20
1.03087e+06,3,RTS,20
1.03095e+06,20,CTS,14
1.03101e+06,3,QOSDATA_TID6,1066
1.0312e+06,20,ACK,14
1.03124e+06,3,QOSDATA_TID6,1066
1.03142e+06,20,ACK,14
1.03147e+06,3,CTL,20
1.03155e+06,2,RTS,20
1.03163e+06,20,CTS,14
1.03169e+06,2,QOSDATA_TID6,1066
1.03188e+06,20,ACK,14
1.03192e+06,2,CTL,20
1.03201e+06,19,RTS,20
1.03201e+06,10,RTS,20
1.03201e+06,18,RTS,20
1.03215e+06,6,RTS,20
1.03215e+06,18,RTS,20
1.03228e+06,16,RTS,20
1.03228e+06,17,RTS,20
1.03236e+06,20,CTS,14
1.03242e+06,16,QOSDATA_TID6,1066
1.03261e+06,20,ACK,14
1.03265e+06,16,CTL,20
1.03274e+06,9,RTS,20
1.03274e+06,13,RTS,20
1.03289e+06,7,RTS,20
1.03297e+06,20,CTS,14
1.03303e+06,7,QOSDATA_TID6,1066
1.03322e+06,20,ACK,14
1.03326e+06,7,CTL,20
1.03335e+06,12,RTS,20
1.03343e+06,20,CTS,14
1.03349e+06,12,QOSDATA_TID6,1066
1.03367e+06,20,ACK,14
1.03372e+06,12,CTL,20
1.03381e+06,19,RTS,20
1.03389e+06,20,CTS,14
1.03395e+06,19,QOSDATA_TID6,1066
1.03414e+06,20,ACK,14
1.03418e+06,19,CTL,20
1.03426e+06,4,RTS,20
1.03434e+06,20,CTS,14
1.0344e+06,4,QOSDATA_TID6,1066
1.03459e+06,20,ACK,14
1.03463e+06,4,QOSDATA_TID6,1066
1.03482e+06,20,ACK,14
1.03486e+06,4,CTL,20
1.03495e+06,1,RTS,20
1.03495e+06,6,RTS,20
1.03495e+06,9,RTS,20
1.03495e+06,18,RTS,20
1.03509e+06,6,RTS,20
1.03517e+06,20,CTS,14
1.03523e+06,6,QOSDATA_TID6,1066
1.03541e+06,20,ACK,14
1.03546e+06,6,QOSDATA_TID6,1066
1.03564e+06,20,ACK,14
1.03569e+06,6,CTL,20
1.03578e+06,13,RTS,20
1.03578e+06,11,RTS,20
1.03578e+06,15,RTS,20
1.0359e+06,5,RTS,20
1.0359e+06,17,RTS,20
1.0359e+06,9,RTS,20
1.0359e+06,0,RTS,20
1.03598e+06,20,CTS,14
1.03604e+06,5,QOSDATA_TID6,1066
1.03623e+06,20,ACK,14
1.03627e+06,5,CTL,20
1.03635e+06,20,BEACON,152
1.03661e+06,3,RTS,20
1.03669e+06,20,CTS,14
1.03675e+06,3,QOSDATA_TID6,1066
1.03694e+06,20,ACK,14
1.03698e+06,3,CTL,20
1.03706e+06,8,RTS,20
1.03706e+06,2,RTS,20
1.03714e+06,20,CTS,14
1.0372e+06,8,QOSDATA_TID6,1066
1.03739e+06,20,ACK,14
1.03743e+06,8,CTL,20
1.03753e+06,11,RTS,20
1.03753e+06,12,RTS,20
1.03753e+06,15,RTS,20
1.03753e+06,18,RTS,20
1.03753e+06,9,RTS,20
1.03767e+06,15,RTS,20
1.03775e+06,20,CTS,14
1.03781e+06,15,QOSDATA_TID6,1066
1.038e+06,20,ACK,14
1.03804e+06,15,CTL,20
1.03814e+06,18,RTS,20
1.03814e+06,10,RTS,20
1.03814e+06,11,RTS,20
1.03814e+06,9,RTS,20
1.03814e+06,13,RTS,20
1.03814e+06,0,RTS,20
1.03814e+06,12,RTS,20
1.03829e+06,18,RTS,20
1.03837e+06,20,CTS,14
1.03843e+06,18,QOSDATA_TID6,1066
1.03861e+06,20,ACK,14
1.03865e+06,18,QOSDATA_TID6,1066
1.03884e+06,20,ACK,14
1.03888e+06,18,CTL,20
1.03897e+06,17,RTS,20
1.03897e+06,0,CTS,14
1.03897e+06,11,RTS,20
1.03909e+06,0,RTS,20
1.03917e+06,20,CTS,14
1.03923e+06,0,QOSDATA_TID6,1066
1.03942e+06,20,ACK,14
1.03946e+06,0,CTL,20
1.03955e+06,6,RTS,20
1.03963e+06,20,CTS,14
1.03969e+06,6,QOSDATA_TID6,1066
1.03987e+06,20,ACK,14
1.03992e+06,6,CTL,20
1.04e+06,2,RTS,20
1.04e+06,16,RTS,20
1.04e+06,19,RTS,20
1.04008e+06,20,CTS,14
1.04014e+06,16,QOSDATA_TID6,1066
1.04032e+06,20,ACK,14
1.04037e+06,16,CTL,20
