nPedca,arm,label,parameters,P50_ms,P95_ms,P99_ms,P99_seed_sd_ms,loss_pct,R10_pct,R10_seed_sd_pt,throughput_per_sta_Mbps,attempts_per_sta_s,P99_vs_default_pct,R10_vs_default_pt,P99_vs_EDCA_pct,R10_vs_EDCA_pt,P99_paired_vs_default_mean_pct,P99_paired_vs_default_sd_pct,R10_paired_vs_default_mean_pt,R10_paired_vs_default_sd_pt
5,edca,EDCA,--,1.4225,7.8575,12.4875,0.9108969938106798,6.969658228926956,90.52671950907697,4.9594523716338665,0.5544244444444445,0.0,23.91466137434879,-4.648226935888857,0.0,0.0,27.08129058615516,11.735531548477654,-4.433609228515422,3.9156318690752205
5,default,offline default,"(0,2,1)",1.3825,4.2875,10.0775,1.276580719474226,3.8355605426910078,95.17494644496583,1.4103239892069552,0.7182473333333333,28.915555555555557,0.0,0.0,-19.2992992992993,4.648226935888857,0.0,0.0,0.0,0.0
5,best,offline best,"(0,4,3)",1.3625,4.6025,7.5675,0.7510659092250161,0.33980582524272274,99.33252427184466,0.25099612013171557,0.625676,16.106666666666666,-24.906970974944187,4.1575778268788355,-39.39939939939941,8.805804762767693,-23.45369349483647,12.435444002161404,4.205947812946889,1.2537755453925032
5,adaptive,burst-adaptive,dynamic,1.2375,5.4125,12.7325,3.14811186798267,0.45116449213510323,97.81733934885989,1.310655730058275,0.6220186666666666,24.106666666666666,26.345819895807487,2.642392903894063,1.9619619619619666,7.29061983978292,28.93594015085687,16.125153993459488,2.6672067592601487,0.6041227873362232
15,edca,EDCA,--,1.4225,7.8575,12.4875,0.9108969938106798,6.969658228926956,90.52671950907697,4.9594523716338665,0.5544244444444445,0.0,-2.1930683375758764,-1.4594933302164463,0.0,0.0,-0.873967514501147,8.452522909138514,-1.1635790107217001,4.074418011002471
15,default,offline default,"(0,2,1)",1.5125,6.3675,12.7675,1.2646442187429636,5.9155536406721225,91.98621283929342,2.9966117431910355,0.5545904444444444,25.591111111111108,0.0,0.0,2.2422422422422317,1.4594933302164463,0.0,0.0,0.0,0.0
15,best,offline best,"(0,4,3)",1.5875,6.2825,10.1575,0.5365709024288716,1.47264186873175,97.45249883627437,0.45029973122759126,0.5913142222222222,20.651851851851852,-20.44252986097512,5.466285996980957,-18.658658658658656,6.925779327197404,-18.46015603463572,4.71000634632385,5.579423770952786,2.559131509078341
15,adaptive,burst-adaptive,dynamic,1.4675,7.8925,16.1225,3.3443397455003487,1.1602049695446204,95.73141254955041,2.2781633559636707,0.5192635555555555,16.69333333333333,26.27765811631093,3.7451997102569976,29.109109109109088,5.204693040473444,24.60833961152929,16.811543398310835,3.742566316166034,0.8585008623865
30,edca,EDCA,--,1.4225,7.8575,12.4875,0.9108969938106798,6.969658228926956,90.52671950907697,4.9594523716338665,0.5544244444444445,0.0,-11.105178857447939,1.640116386719896,0.0,0.0,-12.158560565610708,8.365225508529536,1.7841467003150104,6.715193171453201
30,default,offline default,"(0,2,1)",1.5025,8.1825,14.0475,0.6121478579559025,8.061898557681314,88.88660312235707,2.9977454477652103,0.5107555555555555,23.3037037037037,0.0,0.0,12.492492492492492,-1.640116386719896,0.0,0.0,0.0,0.0
30,best,offline best,"(0,4,3)",1.6525,7.4225,12.1825,0.9809051941956466,3.2222679281502797,94.82380364733307,1.54786106094933,0.5377522222222222,20.662222222222223,-13.276383698166939,5.937200524975992,-2.4424424424424496,4.297084138256096,-13.37828861312532,9.424403023209205,5.908232002038758,4.054597372018791
30,adaptive,burst-adaptive,dynamic,1.4775,8.8975,17.4275,1.7748262825790393,2.2047537094748604,93.92529885110936,1.423758369300502,0.5339688888888889,17.543703703703702,24.061220857803868,5.0386957287522876,39.559559559559546,3.3985793420323915,24.68176544085866,17.374155234501153,5.001011323673159,4.42121297469072
