time_s,k_hat,cwds,qsrc,psrc,n_aggressive,n_conservative,n_unchanged,busy_frac,coll_rate,coll_rate_frame,dscts_frames,dscts_bursts,bsr_sum,lli_count,changed
1.1,0,1,2,3,0,0,21,0.53606,0,0.5,2,1,76,0,1
1.2,1,1,3,3,0,0,24,0.64703,0.166667,0.615385,13,6,91,1,1
1.3,3,1,3,3,0,0,27,0.68578,0.111111,0.5,22,9,107,4,1
1.4,3,1,3,3,0,0,27,0.71192,0.285714,0.428571,14,7,74,1,0
1.5,3,1,3,3,0,0,27,0.67457,0.166667,0.25,12,6,75,1,0
1.6,3,1,3,3,0,0,27,0.59458,0,0,2,1,75,0,0
1.7,4,1,3,3,0,0,27,0.72216,0.454545,0.607143,28,11,83,3,0
1.8,4,1,3,3,0,0,29,0.65534,0.285714,0.428571,28,14,92,1,1
1.9,4,1,3,3,0,0,29,0.65126,0,0.25,4,2,109,0,0
2,7,1,3,3,0,0,29,0.75582,0.166667,0.512195,41,18,114,10,0
2.1,7,1,3,3,0,0,29,0.75452,0.25,0.545455,44,20,168,8,0
2.2,7,1,3,3,0,0,29,0.75773,0.275862,0.53125,64,29,144,16,0
2.3,8,1,3,3,0,0,29,0.74802,0.12,0.545455,55,25,201,10,0
2.4,8,1,3,3,0,0,29,0.73674,0.32,0.633333,60,25,132,13,0
2.5,9,1,4,3,0,0,30,0.67778,0.363636,0.642857,56,22,110,5,1
2.6,9,1,4,3,0,0,30,0.73065,0.153846,0.392857,28,13,134,5,0
2.7,9,1,4,3,0,0,30,0.76396,0.176471,0.382353,34,17,167,23,0
2.8,9,1,4,3,0,0,30,0.75039,0.166667,0.5,36,18,155,13,0
2.9,9,1,4,3,0,0,30,0.74682,0,0.206897,29,15,124,10,0
3,9,1,4,3,0,0,30,0.7652,0.157895,0.425,40,19,157,17,0
3.1,9,1,4,3,0,0,30,0.65896,0.142857,0.375,16,7,116,1,0
3.2,9,1,4,3,0,0,30,0.72549,0.285714,0.428571,14,7,107,2,0
3.3,10,1,4,3,0,0,30,0.75174,0.272727,0.62,50,22,223,18,0
3.4,10,1,4,3,0,0,30,0.7698,0.225806,0.594595,74,31,167,31,0
3.5,10,1,4,3,0,0,30,0.75613,0.190476,0.452381,42,21,183,14,0
3.6,10,1,4,3,0,0,30,0.73572,0.153846,0.346154,26,13,138,13,0
3.7,10,1,4,3,0,0,30,0.72922,0.272727,0.363636,22,11,154,10,0
3.8,10,1,4,3,0,0,30,0.76859,0.28125,0.569444,72,32,135,27,0
3.9,10,1,4,3,0,0,30,0.75735,0.48,0.618182,55,25,159,18,0
4,10,1,4,3,0,0,30,0.75861,0.392857,0.666667,66,28,128,21,0
4.1,10,1,4,3,0,0,30,0.7539,0.434783,0.634615,52,23,155,19,0
4.2,10,1,4,3,0,0,30,0.76168,0.305556,0.627907,86,36,208,32,0
4.3,10,1,4,3,0,0,30,0.76767,0.358974,0.666667,93,39,195,34,0
4.4,10,1,4,3,0,0,30,0.77925,0.3125,0.649351,77,32,164,30,0
4.5,10,1,4,3,0,0,30,0.76314,0.2,0.454545,66,30,172,24,0
4.6,10,1,4,3,0,0,30,0.76251,0.407407,0.625,56,27,168,17,0
4.7,10,1,4,3,0,0,30,0.72683,0.153846,0.384615,26,13,144,12,0
4.8,10,1,4,3,0,0,30,0.75795,0.304348,0.56,50,23,138,21,0
4.9,10,1,4,3,0,0,30,0.7648,0.269231,0.606557,61,26,211,24,0
5,10,1,4,3,0,0,30,0.7866,0.26087,0.581818,110,46,217,49,0
5.1,10,1,4,3,0,0,30,0.7727,0.351351,0.686275,102,37,154,34,0
5.2,10,1,4,3,0,0,30,0.766,0.2,0.571429,70,30,219,28,0
5.3,10,1,4,3,0,0,30,0.74819,0.304348,0.535714,56,23,167,17,0
5.4,10,1,4,3,0,0,30,0.77356,0.233333,0.628571,70,30,170,33,0
5.5,10,1,4,3,0,0,30,0.77131,0.447368,0.745283,106,38,198,28,0
5.6,10,1,4,3,0,0,30,0.78831,0.4,0.728261,92,35,235,36,0
5.7,10,1,4,3,0,0,30,0.77186,0.410256,0.6875,96,39,217,33,0
5.8,10,1,4,3,0,0,30,0.75541,0.307692,0.568966,58,26,212,21,0
5.9,10,1,4,3,0,0,30,0.73846,0.277778,0.444444,36,18,217,9,0
6,10,1,4,3,0,0,30,0.77933,0.36,0.708333,72,25,221,29,0
6.1,10,1,4,3,0,0,30,0.75954,0.266667,0.666667,36,15,172,14,0
6.2,10,1,4,3,0,0,30,0.76061,0.117647,0.444444,36,17,160,18,0
6.3,10,1,4,3,0,0,30,0.7578,0.285714,0.608696,46,21,159,19,0
6.4,10,1,4,3,0,0,30,0.78395,0.181818,0.597561,82,33,207,40,0
6.5,10,1,4,3,0,0,30,0.77,0.344828,0.590909,66,29,175,36,0
6.6,10,1,4,3,0,0,30,0.78653,0.388889,0.764151,106,36,273,35,0
6.7,10,1,4,3,0,0,30,0.78586,0.395349,0.769231,130,43,257,53,0
6.8,10,1,4,3,0,0,30,0.77263,0.305556,0.597826,92,36,180,38,0
6.9,10,1,4,3,0,0,30,0.73834,0.294118,0.472222,36,17,184,9,0
7,10,1,4,3,0,0,30,0.75672,0.181818,0.52,50,22,156,19,0
7.1,10,1,4,3,0,0,30,0.75587,0.352941,0.65,40,17,150,13,0
7.2,10,1,4,3,0,0,30,0.77436,0.210526,0.544444,90,38,229,34,0
7.3,10,1,4,3,0,0,30,0.7721,0.216216,0.597826,92,37,174,37,0
7.4,10,1,4,3,0,0,30,0.78752,0.4,0.73,100,35,241,43,0
7.5,10,1,4,3,0,0,30,0.76841,0.105263,0.454545,44,19,204,17,0
7.6,10,1,4,3,0,0,30,0.76154,0.227273,0.434783,46,22,171,18,0
7.7,10,1,4,3,0,0,30,0.76612,0.277778,0.472222,36,18,167,21,0
7.8,10,1,4,3,0,0,30,0.74829,0.142857,0.285714,14,7,146,6,0
7.9,10,1,4,3,0,0,30,0.76503,0.4,0.596774,62,30,129,22,0
