time_s,k_hat,cwds,qsrc,psrc,n_aggressive,n_conservative,n_unchanged,busy_frac,coll_rate,coll_rate_frame,dscts_frames,dscts_bursts,bsr_sum,lli_count,changed
1.1,2,1,3,3,0,0,23,0.60037,0.5,0.6,20,8,68,0,1
1.2,10,1,4,3,0,0,26,0.71343,0.148148,0.460317,63,27,85,16,1
1.3,12,1,4,3,0,0,28,0.66268,0.153846,0.346154,26,13,97,10,1
1.4,12,1,4,3,0,0,28,0.69388,0.375,0.375,16,8,100,1,0
1.5,17,1,4,3,0,0,28,0.72957,0.285714,0.621212,66,28,109,29,0
1.6,17,1,4,3,0,0,28,0.70944,0.333333,0.6,20,9,84,8,0
1.7,17,1,4,3,0,0,28,0.60322,0,0,0,0,80,0,0
1.8,18,1,4,3,0,0,29,0.62269,0.25,0.5,8,4,85,4,1
1.9,18,1,4,3,0,0,29,0.64525,0,0,4,2,94,0,0
2,18,1,4,3,0,0,29,0.73714,0.5,0.590909,22,10,94,8,0
2.1,19,1,4,3,0,0,29,0.74317,0.333333,0.534483,58,27,126,11,0
2.2,19,1,4,3,0,0,29,0.75492,0.291667,0.661538,130,48,123,55,0
2.3,23,1,5,3,0,0,30,0.74937,0.285714,0.684932,146,49,280,54,1
2.4,23,1,5,3,0,0,30,0.77972,0.255814,0.637097,124,43,227,72,0
2.5,23,1,5,3,0,0,31,0.7331,0.0714286,0.344828,29,14,134,25,1
2.6,23,1,5,3,0,0,31,0.70799,0.3125,0.628571,35,16,178,27,0
2.7,23,1,5,3,0,0,31,0.76894,0.351351,0.627907,86,37,179,63,0
2.8,23,1,4,3,0,0,31,0.74687,0.157895,0.4,40,19,147,26,1
2.9,23,1,4,3,0,0,31,0.66075,0.142857,0.5,46,21,145,27,0
3,23,1,4,3,0,0,31,0.70699,0.285714,0.58,50,21,175,23,0
3.1,23,1,4,3,0,0,31,0.74584,0.148148,0.419355,62,27,157,26,0
3.2,23,1,4,3,0,0,31,0.75445,0.263158,0.545455,88,38,132,35,0
3.3,24,1,4,3,0,0,31,0.77297,0.321429,0.728814,177,56,218,65,0
3.4,25,1,4,3,0,0,31,0.77682,0.277778,0.666667,174,54,233,76,0
3.5,25,1,4,3,0,0,31,0.75942,0.355556,0.688525,122,45,176,39,0
3.6,25,1,4,3,0,0,31,0.76251,0.375,0.757009,107,32,168,39,0
3.7,25,1,4,3,0,0,31,0.75647,0.129032,0.535714,84,31,204,34,0
3.8,25,1,4,3,0,0,31,0.76979,0.469388,0.689394,132,49,131,54,0
3.9,25,1,4,3,0,0,31,0.75459,0.348837,0.655172,116,43,151,33,0
4,25,1,4,3,0,0,31,0.75023,0.0526316,0.315789,38,19,111,25,0
4.1,25,1,4,3,0,0,31,0.75529,0.354839,0.682927,82,31,158,35,0
4.2,25,1,4,3,0,0,31,0.75564,0.288889,0.637097,124,45,195,36,0
4.3,25,1,4,3,0,0,31,0.76419,0.25,0.590909,132,48,196,61,0
4.4,25,1,4,3,0,0,31,0.78096,0.333333,0.723982,221,66,242,79,0
4.5,25,1,4,3,0,0,31,0.77197,0.290909,0.705202,173,55,225,64,0
4.6,25,1,4,3,0,0,31,0.74899,0.371429,0.703704,108,35,153,32,0
4.7,25,1,4,3,0,0,31,0.71027,0.461538,0.666667,57,26,177,16,0
4.8,25,1,4,3,0,0,31,0.75991,0.315789,0.587629,97,38,184,45,0
4.9,25,1,4,3,0,0,31,0.77493,0.265625,0.682927,205,64,257,84,0
5,26,1,4,3,0,0,31,0.78818,0.25,0.70625,160,44,272,74,0
5.1,26,1,4,3,0,0,31,0.77578,0.25,0.608696,138,52,200,71,0
5.2,26,1,4,3,0,0,31,0.77694,0.307692,0.739669,242,65,282,81,0
5.3,26,1,4,3,0,0,31,0.77762,0.23913,0.669118,136,46,197,55,0
5.4,26,1,4,3,0,0,31,0.78984,0.290909,0.7,180,55,221,87,0
5.5,26,1,4,3,0,0,31,0.79804,0.298246,0.723404,188,57,252,91,0
5.6,26,1,4,3,0,0,31,0.78794,0.275862,0.727723,202,58,261,90,0
5.7,26,1,4,3,0,0,31,0.77284,0.346154,0.692308,143,52,259,64,0
5.8,26,1,4,3,0,0,31,0.7616,0.3,0.639456,147,50,193,48,0
5.9,26,1,4,3,0,0,31,0.75757,0.283019,0.555556,126,53,275,46,0
6,26,1,4,3,0,0,31,0.79088,0.262295,0.711443,201,61,332,87,0
6.1,26,1,4,3,0,0,31,0.75409,0.210526,0.546392,97,38,156,46,0
6.2,26,1,4,3,0,0,31,0.7488,0.189189,0.47561,82,37,174,32,0
6.3,26,1,4,3,0,0,31,0.76622,0.390244,0.642857,98,41,229,48,0
6.4,26,1,4,3,0,0,31,0.781,0.3125,0.729412,170,48,261,80,0
6.5,26,1,4,3,0,0,31,0.78905,0.307692,0.710938,128,39,275,72,0
6.6,26,1,4,3,0,0,31,0.79344,0.322581,0.752101,238,62,304,92,0
6.7,26,1,4,3,0,0,31,0.80253,0.351852,0.742105,190,54,294,94,0
6.8,26,1,4,3,0,0,31,0.78073,0.269231,0.67284,162,52,229,79,0
6.9,26,1,4,3,0,0,31,0.75397,0.16,0.396552,58,25,213,21,0
7,26,1,4,3,0,0,31,0.75475,0.35,0.672414,116,40,152,37,0
7.1,26,1,4,3,0,0,31,0.74939,0.392857,0.606061,66,28,151,24,0
7.2,26,1,4,3,0,0,31,0.78051,0.294118,0.712389,226,68,266,82,0
7.3,26,1,4,3,0,0,31,0.77885,0.22807,0.6,160,57,238,86,0
7.4,26,1,4,3,0,0,31,0.79498,0.163265,0.643836,146,49,258,87,0
7.5,26,1,4,3,0,0,31,0.76035,0.162791,0.552632,114,43,209,44,0
7.6,26,1,4,3,0,0,31,0.76347,0.277778,0.590909,88,36,176,36,0
7.7,26,1,4,3,0,0,31,0.78082,0.207547,0.62,150,53,220,81,0
7.8,26,1,4,3,0,0,31,0.73837,0,0.266667,30,14,160,18,0
7.9,26,1,4,3,0,0,31,0.75928,0.320755,0.571429,126,53,147,44,0
