time_s,k_hat,cwds,qsrc,psrc,n_aggressive,n_conservative,n_unchanged,busy_frac,coll_rate,coll_rate_frame,dscts_frames,dscts_bursts,bsr_sum,lli_count,changed
0.1,15,1,4,3,0,0,0,0.0034,0,0,0,0,0,0,0
0.2,15,1,4,3,0,0,15,0.2586,0.75,0.928571,28,4,0,0,1
0.3,15,1,4,3,0,0,15,0.0044,0,0,0,0,0,0,0
0.4,15,1,4,3,0,0,15,0.0044,0,0,0,0,0,0,0
0.5,15,1,4,3,0,0,15,0.0044,0,0,0,0,0,0,0
0.6,15,1,4,3,0,0,15,0.0044,0,0,0,0,0,0,0
0.7,15,1,4,3,0,0,23,0.41209,0.333333,0.818182,11,3,25,0,1
0.8,15,1,4,3,0,0,23,0.3496,0,0,0,0,50,0,0
0.9,15,1,4,3,0,0,23,0.52579,0,0,0,0,70,0,0
1,15,1,4,3,0,0,23,0.59218,0,0,0,0,91,0,0
1.1,15,1,4,3,0,0,23,0.62263,0,0,0,0,82,0,0
1.2,15,1,4,3,0,0,27,0.686,0,0.428571,7,4,91,4,1
1.3,15,1,4,3,0,0,29,0.7284,0.125,0.5,18,8,100,6,1
1.4,15,1,4,3,0,0,29,0.73994,0.25,0.375,8,4,116,5,0
1.5,15,1,4,3,0,0,29,0.74275,0,0,2,1,112,0,0
1.6,15,1,4,3,0,0,29,0.63079,0,0.25,4,2,100,1,0
1.7,15,1,4,3,0,0,29,0.74071,0.285714,0.428571,14,7,128,8,0
1.8,15,1,4,3,0,0,30,0.75999,0.2,0.333333,30,15,144,19,1
1.9,15,1,4,3,0,0,30,0.7382,0.3,0.5,22,10,136,6,0
2,15,1,4,3,0,0,30,0.75801,0.461538,0.655172,58,26,147,19,0
2.1,15,1,4,3,0,0,30,0.73452,0.357143,0.5625,32,14,156,8,0
2.2,15,1,4,3,0,0,30,0.76366,0.304348,0.481481,54,23,160,22,0
2.3,15,1,4,3,0,0,30,0.74667,0.333333,0.583333,24,12,113,10,0
2.4,15,1,4,3,0,0,30,0.55137,0,0,0,0,105,0,0
2.5,15,1,4,3,0,0,30,0.70291,0,0.166667,6,3,94,0,0
2.6,15,1,4,3,0,0,30,0.69478,0.444444,0.611111,18,9,111,3,0
2.7,15,1,4,3,0,0,30,0.4842,0,0,0,0,126,0,0
2.8,15,1,4,3,0,0,30,0.65388,0,0,0,0,105,0,0
2.9,15,1,4,3,0,0,30,0.75636,0.238095,0.54,50,21,210,17,0
3,15,1,4,3,0,0,30,0.77091,0.185185,0.5625,64,27,204,33,0
3.1,15,1,4,3,0,0,30,0.76475,0.2,0.4375,32,15,180,17,0
3.2,15,1,4,3,0,0,30,0.75487,0.235294,0.526316,38,17,184,13,0
3.3,15,1,4,3,0,0,30,0.77844,0.4,0.723077,65,25,253,30,0
3.4,15,1,4,3,0,0,30,0.76889,0.388889,0.697674,86,36,229,34,0
3.5,15,1,4,3,0,0,30,0.7698,0.242424,0.54878,82,33,169,34,0
3.6,15,1,4,3,0,0,30,0.76194,0.222222,0.5,38,18,156,18,0
3.7,15,1,4,3,0,0,30,0.74805,0.428571,0.571429,14,7,152,10,0
3.8,15,1,4,3,0,0,30,0.76478,0.413793,0.638889,72,29,169,27,0
3.9,15,1,4,3,0,0,30,0.77954,0.390244,0.685185,108,41,213,47,0
4,15,1,4,3,0,0,30,0.77405,0.483871,0.721519,79,31,202,34,0
4.1,15,1,4,3,0,0,30,0.7616,0.458333,0.754098,61,24,172,24,0
4.2,15,1,4,3,0,0,30,0.7634,0.333333,0.635135,74,30,166,34,0
4.3,15,1,4,3,0,0,30,0.72596,0.333333,0.416667,24,12,143,10,0
4.4,15,1,4,3,0,0,30,0.76052,0.25,0.447368,38,16,157,16,0
4.5,15,1,4,3,0,0,30,0.7708,0.333333,0.6375,80,33,228,27,0
4.6,15,1,4,3,0,0,30,0.78317,0.3,0.686441,118,40,262,49,0
4.7,15,1,4,3,0,0,30,0.76086,0.32,0.603448,58,25,165,24,0
4.8,15,1,4,3,0,0,30,0.75066,0.153846,0.5,54,26,197,23,0
4.9,15,1,4,3,0,0,30,0.76279,0.34375,0.666667,84,32,209,34,0
5,15,1,4,3,0,0,30,0.78163,0.258065,0.605263,76,31,234,29,0
5.1,15,1,4,3,0,0,30,0.7875,0.419355,0.686047,86,31,287,33,0
5.2,15,1,4,3,0,0,30,0.76448,0.233333,0.6,70,30,164,30,0
5.3,15,1,4,3,0,0,30,0.76193,0.206897,0.515152,66,29,217,33,0
5.4,15,1,4,3,0,0,30,0.77893,0.275862,0.597015,67,29,209,37,0
5.5,15,1,4,3,0,0,30,0.77081,0.210526,0.421053,38,19,218,20,0
5.6,15,1,4,3,0,0,30,0.77765,0.184211,0.595745,94,38,217,44,0
5.7,15,1,4,3,0,0,30,0.74526,0.318182,0.54,50,22,169,24,0
5.8,15,1,4,3,0,0,30,0.75598,0.36,0.672414,58,25,205,20,0
5.9,15,1,4,3,0,0,30,0.76686,0.318182,0.62963,54,22,184,23,0
6,15,1,4,3,0,0,30,0.77089,0.346154,0.612903,62,26,192,28,0
6.1,15,1,4,3,0,0,30,0.7727,0.192308,0.548387,62,26,229,26,0
6.2,15,1,4,3,0,0,30,0.75985,0.333333,0.631579,38,15,183,19,0
6.3,15,1,4,3,0,0,30,0.76157,0.30303,0.569444,72,33,217,27,0
6.4,15,1,4,3,0,0,30,0.76247,0.142857,0.451613,62,28,188,25,0
6.5,15,1,4,3,0,0,30,0.76119,0.258065,0.527778,72,31,202,27,0
6.6,15,1,4,3,0,0,30,0.78139,0.378378,0.705882,102,37,279,42,0
6.7,15,1,4,3,0,0,30,0.77165,0.16129,0.5,70,31,220,30,0
6.8,15,1,4,3,0,0,30,0.76667,0.285714,0.578125,64,28,188,26,0
6.9,15,1,4,3,0,0,30,0.77537,0.255814,0.622807,114,43,248,46,0
