time_s,k_hat,cwds,qsrc,psrc,n_aggressive,n_conservative,n_unchanged,busy_frac,coll_rate,coll_rate_frame,dscts_frames,dscts_bursts,bsr_sum,lli_count,changed
0.1,5,1,3,3,0,0,0,0.0034,0,0,0,0,0,0,0
0.2,5,1,3,3,0,0,10,0.19892,0.333333,0.625,8,3,0,0,1
0.3,5,1,3,3,0,0,10,0.00404,0,0,0,0,0,0,0
0.4,5,1,3,3,0,0,10,0.00404,0,0,0,0,0,0,0
0.5,5,1,3,3,0,0,10,0.00404,0,0,0,0,0,0,0
0.6,5,1,3,3,0,0,10,0.03774,0,0,0,0,5,0,0
0.7,5,1,3,3,0,0,20,0.33982,0.5,0.75,4,2,15,0,1
0.8,5,1,3,3,0,0,20,0.37017,0,0,0,0,40,0,0
0.9,5,1,3,3,0,0,20,0.47025,0,0,0,0,65,0,0
1,5,1,3,3,0,0,20,0.60638,0,0,0,0,64,0,0
1.1,5,1,3,3,0,0,20,0.69475,0,0,0,0,85,0,0
1.2,5,1,3,3,0,0,24,0.73543,0,0.125,8,4,70,2,1
1.3,5,1,3,3,0,0,27,0.73936,0,0.333333,6,3,131,3,1
1.4,5,1,3,3,0,0,27,0.73966,0,0,0,0,87,0,0
1.5,5,1,3,3,0,0,27,0.69054,0,0,0,0,87,0,0
1.6,5,1,3,3,0,0,27,0.5682,0,0,0,0,70,0,0
1.7,5,1,3,3,0,0,27,0.62668,0,0,0,0,65,0,0
1.8,5,1,3,3,0,0,29,0.67734,0,0,2,1,103,1,1
1.9,5,1,3,3,0,0,29,0.71071,0.666667,0.666667,6,3,93,1,0
2,5,1,3,3,0,0,29,0.74826,0.384615,0.5625,32,13,100,1,0
2.1,5,1,3,3,0,0,29,0.72392,0.4,0.5,10,5,93,1,0
2.2,5,1,3,3,0,0,29,0.73573,0.5,0.5,4,2,88,1,0
2.3,5,1,3,3,0,0,30,0.73932,0,0.1875,16,8,102,1,1
2.4,5,1,3,3,0,0,30,0.63552,0.333333,0.5,6,3,88,0,0
2.5,5,1,3,3,0,0,31,0.63384,0,0,0,0,101,0,1
2.6,5,1,3,3,0,0,31,0.69848,0.6,0.6,10,5,127,2,0
2.7,5,1,3,3,0,0,31,0.51934,0,0,0,0,135,0,0
2.8,5,1,3,3,0,0,31,0.65593,0,0.25,4,2,155,0,0
2.9,5,1,3,3,0,0,31,0.75891,0.5,0.666667,12,6,166,2,0
3,5,1,3,3,0,0,31,0.76475,0.428571,0.714286,14,7,189,4,0
3.1,5,1,3,3,0,0,31,0.75589,0.166667,0.416667,12,6,182,3,0
3.2,5,1,3,3,0,0,31,0.75019,0,0.2,10,5,149,1,0
3.3,5,1,3,3,0,0,31,0.76324,0.428571,0.7,30,14,206,7,0
3.4,5,1,3,3,0,0,31,0.76258,0,0.3125,16,8,226,3,0
3.5,5,1,3,3,0,0,31,0.77015,0.3,0.55,20,10,186,6,0
3.6,5,1,3,3,0,0,31,0.7295,0.375,0.666667,18,8,173,2,0
3.7,5,1,3,3,0,0,31,0.73134,0,0.4375,16,8,165,1,0
3.8,5,1,3,3,0,0,31,0.75322,0.166667,0.416667,12,6,186,3,0
3.9,5,1,3,3,0,0,31,0.76798,0.357143,0.571429,28,14,226,6,0
4,5,1,3,3,0,0,31,0.76457,0,0.3125,16,8,233,3,0
4.1,5,1,3,3,0,0,31,0.76609,0.5,0.75,4,2,203,2,0
4.2,5,1,3,3,0,0,31,0.76154,1,1,4,2,190,1,0
4.3,5,1,3,3,0,0,31,0.69106,0,0,8,4,172,1,0
4.4,5,1,3,3,0,0,31,0.74074,0,0,6,3,147,1,0
4.5,5,1,3,3,0,0,31,0.7663,0.4,0.7,20,10,218,6,0
4.6,5,1,3,3,0,0,31,0.77584,0.375,0.657895,38,16,299,12,0
4.7,5,1,3,3,0,0,31,0.76089,0.5625,0.735294,34,16,219,7,0
4.8,5,1,3,3,0,0,31,0.76353,0.0833333,0.423077,26,12,193,6,0
4.9,5,1,3,3,0,0,31,0.77277,0.238095,0.62,50,21,234,10,0
5,5,1,3,3,0,0,31,0.77185,0.238095,0.47619,42,21,254,12,0
5.1,5,1,3,3,0,0,31,0.76386,0.230769,0.535714,28,13,226,5,0
5.2,5,1,3,3,0,0,31,0.76866,0.285714,0.571429,14,7,231,4,0
5.3,5,1,3,3,0,0,31,0.76357,0.214286,0.571429,28,14,193,8,0
5.4,5,1,3,3,0,0,31,0.77558,0.428571,0.571429,14,7,222,5,0
5.5,5,1,3,3,0,0,31,0.77119,0.222222,0.611111,18,9,212,5,0
5.6,5,1,3,3,0,0,31,0.76682,0.157895,0.45,40,19,226,10,0
5.7,5,1,3,3,0,0,31,0.76238,0.153846,0.423077,26,13,190,9,0
5.8,5,1,3,3,0,0,31,0.76195,0.2,0.6,10,5,264,1,0
5.9,5,1,3,3,0,0,31,0.76712,0.266667,0.558824,34,15,239,5,0
6,5,1,3,3,0,0,31,0.76768,0.266667,0.533333,30,15,210,6,0
6.1,5,1,3,3,0,0,31,0.77033,0.235294,0.382353,34,17,244,5,0
6.2,5,1,3,3,0,0,31,0.76538,0,0.333333,6,3,211,2,0
6.3,5,1,3,3,0,0,31,0.76718,0,0.25,16,8,247,4,0
6.4,5,1,3,3,0,0,31,0.76947,0.266667,0.533333,30,15,231,8,0
6.5,5,1,3,3,0,0,31,0.75413,0.157895,0.447368,38,19,212,9,0
6.6,5,1,3,3,0,0,31,0.76448,0.357143,0.612903,62,28,228,13,0
6.7,5,1,3,3,0,0,31,0.76882,0.454545,0.636364,22,11,210,4,0
6.8,5,1,3,3,0,0,31,0.76889,0.294118,0.578947,38,17,264,6,0
6.9,5,1,3,3,0,0,31,0.77335,0.294118,0.578947,76,34,227,19,0
7,5,1,3,3,0,0,31,0.77243,0.2,0.5625,32,15,216,9,0
7.1,5,1,3,3,0,0,31,0.76524,0.222222,0.555556,18,9,200,9,0
7.2,5,1,3,3,0,0,31,0.75592,0,0.6,10,4,220,2,0
7.3,5,1,3,3,0,0,31,0.77181,0.25,0.53125,32,16,255,10,0
7.4,5,1,3,3,0,0,31,0.77908,0.263158,0.5,38,19,243,14,0
7.5,5,1,3,3,0,0,31,0.77512,0.4375,0.625,32,16,287,5,0
7.6,5,1,3,3,0,0,31,0.75399,0.214286,0.464286,28,14,203,6,0
7.7,5,1,3,3,0,0,31,0.76239,0.25,0.5,16,8,196,2,0
7.8,5,1,3,3,0,0,31,0.76201,0.0909091,0.363636,22,11,186,4,0
7.9,5,1,3,3,0,0,31,0.76271,0.291667,0.615385,52,24,218,12,0
