nPedca,qsrc_mode,q2_fraction,q3_fraction,q4_fraction,q5_fraction,max_khat_mean,stage1_airtime_est_mean_pct
5,3,0.06280193236714976,0.9371980676328503,0.0,0.0,4.666666666666667,2.213743961352657
15,4,0.014492753623188406,0.13526570048309178,0.8502415458937198,0.0,12.0,4.044082125603865
30,4,0.004830917874396135,0.014492753623188406,0.9806763285024155,0.0,25.666666666666668,7.142608695652174
