nohup: ignoring input

╔══════════════════════════════════════════════════════════╗
║  P-EDCA Ratio Sweep (Parallel, Multi-Run Averaging)    ║
║  nSta = [2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50]
║  ratios = [0.0, 0.2, 0.4, 0.6, 0.8, 1.0]
║  dataRate = 1Mbps    simTime = 10.0s
║  runs = 10    workers = 16
║  binary = scratch/pedca_verification_nsta.cc
╚══════════════════════════════════════════════════════════╝

  Launching 25 nSta × 6 ratios × 10 runs = 1500 simulations
  (16 concurrent simulations)

  ✔ nSta=10  ratio=100%  10/10 runs OK  elapsed=250.0s
  ✔ nSta=12  ratio=0%  10/10 runs OK  elapsed=390.5s
  ✔ nSta=12  ratio=20%  10/10 runs OK  elapsed=354.9s
  ✔ nSta=12  ratio=40%  10/10 runs OK  elapsed=297.1s
  ✔ nSta=12  ratio=60%  10/10 runs OK  elapsed=462.0s
  ✔ nSta=12  ratio=80%  10/10 runs OK  elapsed=323.7s
  ✔ nSta=12  ratio=100%  10/10 runs OK  elapsed=338.5s
  ✔ nSta=14  ratio=0%  10/10 runs OK  elapsed=537.1s
  ✔ nSta=14  ratio=20%  10/10 runs OK  elapsed=462.6s
  ✔ nSta=14  ratio=40%  10/10 runs OK  elapsed=461.4s
  ✔ nSta=14  ratio=60%  10/10 runs OK  elapsed=506.6s
  ✔ nSta=14  ratio=80%  10/10 runs OK  elapsed=393.9s
  ✔ nSta=14  ratio=100%  10/10 runs OK  elapsed=555.3s
  ✔ nSta=16  ratio=0%  10/10 runs OK  elapsed=672.4s
  ✔ nSta=16  ratio=20%  10/10 runs OK  elapsed=627.6s
  ✔ nSta=16  ratio=40%  10/10 runs OK  elapsed=606.4s
  ✔ nSta=16  ratio=60%  10/10 runs OK  elapsed=668.9s
  ✔ nSta=16  ratio=80%  10/10 runs OK  elapsed=772.6s
  ✔ nSta=16  ratio=100%  10/10 runs OK  elapsed=595.8s
